taxa,reads
g__Dermacoccus.s__Dermacoccus_sp_Ellin185,6
g__Dickeya.s__Dickeya_solani,1
g__Dictyostelium.s__Dictyostelium_purpureum,3
g__Dorea.s__Dorea_longicatena,1352
g__Dorea.s__Dorea_sp_5_2,1
g__Duganella.s__Duganella_zoogloeoides,27
g__Edwardsiella.s__Edwardsiella_tarda,1
g__Elizabethkingia.s__Elizabethkingia_anophelis,1283
g__Enhydrobacter.s__Enhydrobacter_aerosaccus,2
g__Enterobacter.s__Enterobacter_aerogenes,1
g__Enterobacter.s__Enterobacter_cloacae,1
g__Enterobacter.s__Enterobacter_sp_MGH_34,1
g__Enterococcus.s__Enterococcus_casseliflavus,3
g__Enterococcus.s__Enterococcus_cecorum,13
g__Enterococcus.s__Enterococcus_durans,226
g__Enterococcus.s__Enterococcus_faecalis,690
g__Enterococcus.s__Enterococcus_mundtii,5
g__Erwinia.s__Erwinia_billingiae,1
g__Erysipelothrix.s__Erysipelothrix_rhusiopathiae,4
g__Escherichia.s__Escherichia_albertii,1
g__Escherichia.s__Escherichia_coli,128
g__Escherichia.s__Escherichia_fergusonii,4
g__Escherichia.s__Escherichia_sp_1_1_43,70
g__Escherichia.s__Escherichia_sp_3_2_53FAA,26
g__Escherichia.s__Escherichia_sp_4_1_40B,84
g__Escherichia.s__Escherichia_sp_TW09231,2
g__Escherichia.s__Escherichia_sp_TW09276,2
g__Escherichia.s__Escherichia_sp_TW09308,1
g__Escherichia.s__Escherichia_sp_TW10509,13
g__Escherichia.s__Escherichia_sp_TW11588,1
g__Eubacterium.s__Eubacterium_rectale,3
g__Eubacterium.s__Eubacterium_sp_14_2,2
g__Eubacterium.s__Eubacterium_ventriosum,70
g__Faecalibacterium.s__Faecalibacterium_prausnitzii,83
g__Finegoldia.s__Finegoldia_magna,1
g__Flavobacteriaceae_noname.s__Flavobacteriaceae_bacterium_HQM9,2
g__Flavobacteriia_noname.s__Flavobacteria_bacterium_MS024_2A,46
g__Flavobacteriia_noname.s__Flavobacteria_bacterium_MS024_3C,41
g__Flavonifractor.s__Flavonifractor_plautii,3
g__Fusobacterium.s__Fusobacterium_nucleatum,6
g__Haemophilus.s__Haemophilus_parasuis,2
g__Haemophilus.s__Haemophilus_sputorum,1
g__Helicobacter.s__Helicobacter_pullorum,1
g__Heliobacterium.s__Heliobacterium_modesticaldum,154
g__Holophaga.s__Holophaga_foetida,2
g__Hymenobacter.s__Hymenobacter_aerophilus,1
g__Janthinobacterium.s__Janthinobacterium_sp_CG3,1
g__Klebsiella.s__Klebsiella_pneumoniae,5
g__Klebsiella.s__Klebsiella_sp_OBRC7,1
g__Kocuria.s__Kocuria_rhizophila,21
g__Kocuria.s__Kocuria_sp_UCD_OTCP,4
g__Labrenzia.s__Labrenzia_aggregata,2
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_3_1_57FAA_CT1,8
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_4_1_37FAA,81
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA,25
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_6_1_63FAA,32
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_8_1_57FAA,6
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_9_1_43BFAA,118
g__Lactobacillus.s__Lactobacillus_animalis,18
g__Lactobacillus.s__Lactobacillus_antri,1
g__Lactobacillus.s__Lactobacillus_casei_paracasei,32
g__Lactobacillus.s__Lactobacillus_crispatus,23
g__Lactobacillus.s__Lactobacillus_fermentum,3
g__Lactobacillus.s__Lactobacillus_gasseri,3
g__Lactobacillus.s__Lactobacillus_jensenii,25
g__Lactobacillus.s__Lactobacillus_murinus,96
g__Lactobacillus.s__Lactobacillus_plantarum,2
g__Lactobacillus.s__Lactobacillus_reuteri,6
g__Lactobacillus.s__Lactobacillus_rhamnosus,111
g__Lactobacillus.s__Lactobacillus_salivarius,3
g__Lactobacillus.s__Lactobacillus_vaginalis,1
g__Lactococcus.s__Lactococcus_lactis,2
g__Lamprocystis.s__Lamprocystis_purpurea,1
g__Legionella.s__Legionella_pneumophila,1
g__Leifsonia.s__Leifsonia_xyli,1
g__Leptosphaeria.s__Leptosphaeria_maculans,80
g__Leptospira.s__Leptospira_interrogans,1
g__Leptospira.s__Leptospira_weilii,1
g__Limnohabitans.s__Limnohabitans_sp_Rim28,2
g__Listeria.s__Listeria_grayi,1
g__Listeria.s__Listeria_monocytogenes,71
g__Magnetospirillum.s__Magnetospirillum_sp_SO_1,30
g__Malassezia.s__Malassezia_globosa,8
g__Marichromatium.s__Marichromatium_purpuratum,4
g__Marinilabilia.s__Marinilabilia_salmonicolor,6
g__Massilia.s__Massilia_timonae,2
g__Meiothermus.s__Meiothermus_silvanus,1
g__Mesorhizobium.s__Mesorhizobium_amorphae,13
g__Mesorhizobium.s__Mesorhizobium_ciceri,10
g__Mesorhizobium.s__Mesorhizobium_loti,47
g__Mesorhizobium.s__Mesorhizobium_metallidurans,2
g__Mesorhizobium.s__Mesorhizobium_opportunistum,4
g__Mesorhizobium.s__Mesorhizobium_sp_WSM4349,6
g__Methylibium.s__Methylibium_petroleiphilum,2
g__Methylobacterium.s__Methylobacterium_mesophilicum,2
g__Methylophilus.s__Methylophilus_methylotrophus,1
g__Methyloversatilis.s__Methyloversatilis_universalis,14
g__Microbacterium.s__Microbacterium_laevaniformans,4
g__Micrococcus.s__Micrococcus_luteus,8
g__Mucispirillum.s__Mucispirillum_schaedleri,772
g__Myceliophthora.s__Myceliophthora_thermophila,103
g__Mycobacterium.s__Mycobacterium_avium,1
g__Nitrobacter.s__Nitrobacter_hamburgensis,9
g__Nitrobacter.s__Nitrobacter_winogradskyi,12
g__Nocardioides.s__Nocardioides_sp_JS614,5
g__Nocardiopsis.s__Nocardiopsis_salina,1
g__Novosphingobium.s__Novosphingobium_nitrogenifigens,1
g__Novosphingobium.s__Novosphingobium_pentaromativorans,2
g__Novosphingobium.s__Novosphingobium_sp_Rr_2_17,1
g__Oligotropha.s__Oligotropha_carboxidovorans,1
g__Paenibacillus.s__Paenibacillus_lactis,18
g__Paenibacillus.s__Paenibacillus_sp_ICGEB2008,2
g__Pantoea.s__Pantoea_agglomerans,9
g__Pantoea.s__Pantoea_sp_SL1_M5,6
g__Parabacteroides.s__Parabacteroides_distasonis,31134
g__Parabacteroides.s__Parabacteroides_goldsteinii,15426
g__Parabacteroides.s__Parabacteroides_johnsonii,2774
g__Parabacteroides.s__Parabacteroides_merdae,5307
g__Parabacteroides.s__Parabacteroides_sp_20_3,92
g__Parabacteroides.s__Parabacteroides_sp_ASF519,9454
g__Parabacteroides.s__Parabacteroides_sp_D13,243
g__Parabacteroides.s__Parabacteroides_sp_D25,19
g__Paracoccus.s__Paracoccus_denitrificans,1
g__Paraprevotella.s__Paraprevotella_clara,15
g__Parvibaculum.s__Parvibaculum_lavamentivorans,1
g__Parvimonas.s__Parvimonas_micra,34
g__Pasteurella.s__Pasteurella_multocida,2
g__Peptostreptococcaceae_noname.s__Clostridium_bartlettii,18
g__Peptostreptococcaceae_noname.s__Clostridium_hiranonis,2
g__Peptostreptococcaceae_noname.s__Clostridium_sordellii,3
g__Perkinsus.s__Perkinsus_marinus,56
g__Phenylobacterium.s__Phenylobacterium_zucineum,7
g__Plasmodium.s__Plasmodium_berghei,48
g__Plasmodium.s__Plasmodium_chabaudi,6
g__Plasmodium.s__Plasmodium_yoelii,187
g__Polaromonas.s__Polaromonas_naphthalenivorans,5
g__Polaromonas.s__Polaromonas_sp_JS666,1
g__Polynucleobacter.s__Polynucleobacter_necessarius,9
g__Porphyromonas.s__Porphyromonas_cansulci,5
g__Porphyromonas.s__Porphyromonas_crevioricanis,3
g__Porphyromonas.s__Porphyromonas_gingivalis,1
g__Prevotella.s__Prevotella_amnii,14
g__Prevotella.s__Prevotella_buccae,13
g__Prevotella.s__Prevotella_histicola,343
g__Prevotella.s__Prevotella_loescheii,5
g__Prevotella.s__Prevotella_nigrescens,14
g__Prevotella.s__Prevotella_oris,19
g__Prevotella.s__Prevotella_sp_oral_taxon_317,1
g__Prevotella.s__Prevotella_sp_oral_taxon_472,1
g__Propionibacterium.s__Propionibacterium_acnes,68
g__Propionibacterium.s__Propionibacterium_sp_409_HC1,5
g__Propionibacterium.s__Propionibacterium_sp_434_HC2,3
g__Propionibacterium.s__Propionibacterium_sp_5_U_42AFAA,3
g__Propionibacterium.s__Propionibacterium_sp_CC003_HC2,3
