taxa,reads
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_3_1_57FAA_CT1,1.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_4_1_37FAA,42.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA,1.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_6_1_63FAA,92.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_9_1_43BFAA,6.0
g__Lactobacillus.s__Lactobacillus_animalis,69.0
g__Lactobacillus.s__Lactobacillus_brevis,1.0
g__Lactobacillus.s__Lactobacillus_casei_paracasei,9.0
g__Lactobacillus.s__Lactobacillus_crispatus,73.0
g__Lactobacillus.s__Lactobacillus_fermentum,18.0
g__Lactobacillus.s__Lactobacillus_gasseri,1.0
g__Lactobacillus.s__Lactobacillus_jensenii,69.0
g__Lactobacillus.s__Lactobacillus_murinus,392.0
g__Lactobacillus.s__Lactobacillus_reuteri,5.0
g__Lactobacillus.s__Lactobacillus_rhamnosus,3.0
g__Lactobacillus.s__Lactobacillus_salivarius,1.0
g__Lactococcus.s__Lactococcus_garvieae,7.0
g__Lactococcus.s__Lactococcus_lactis,4.0
g__Lautropia.s__Lautropia_mirabilis,1.0
g__Leptonema.s__Leptonema_illini,1.0
g__Leptosphaeria.s__Leptosphaeria_maculans,643.0
g__Leptospira.s__Leptospira_weilii,1.0
g__Leptospira.s__Leptospira_wolbachii,22.0
g__Leptothrix.s__Leptothrix_cholodnii,6.0
g__Leptotrichia.s__Leptotrichia_hofstadii,2.0
g__Limnohabitans.s__Limnohabitans_sp_Rim47,2.0
g__Listeria.s__Listeria_monocytogenes,230.0
g__Malassezia.s__Malassezia_globosa,3.0
g__Marinilabilia.s__Marinilabilia_salmonicolor,11.0
g__Marvinbryantia.s__Marvinbryantia_formatexigens,8.0
g__Massilia.s__Massilia_niastensis,1.0
g__Mesorhizobium.s__Mesorhizobium_amorphae,17.0
g__Mesorhizobium.s__Mesorhizobium_australicum,4.0
g__Mesorhizobium.s__Mesorhizobium_ciceri,9.0
g__Mesorhizobium.s__Mesorhizobium_loti,118.0
g__Mesorhizobium.s__Mesorhizobium_metallidurans,14.0
g__Mesorhizobium.s__Mesorhizobium_opportunistum,20.0
g__Mesorhizobium.s__Mesorhizobium_sp_WSM4349,5.0
g__Methylibium.s__Methylibium_petroleiphilum,55.0
g__Methylobacterium.s__Methylobacterium_mesophilicum,1.0
g__Methylobacterium.s__Methylobacterium_sp_MB200,10.0
g__Methylophilus.s__Methylophilus_methylotrophus,24.0
g__Methylotenera.s__Methylotenera_sp_1P_1,1.0
g__Methyloversatilis.s__Methyloversatilis_universalis,6.0
g__Microbacterium.s__Microbacterium_laevaniformans,3.0
g__Microbacterium.s__Microbacterium_maritypicum,13.0
g__Microbacterium.s__Microbacterium_sp_292MF,4.0
g__Microbacterium.s__Microbacterium_sp_B19,2.0
g__Microbacterium.s__Microbacterium_yannicii,2.0
g__Microcystis.s__Microcystis_aeruginosa,2.0
g__Mucispirillum.s__Mucispirillum_schaedleri,907.0
g__Myceliophthora.s__Myceliophthora_thermophila,158.0
g__Mycobacterium.s__Mycobacterium_avium,5.0
g__Mycobacterium.s__Mycobacterium_orygis,1.0
g__Mycobacterium.s__Mycobacterium_parascrofulaceum,1.0
g__Mycoplasma.s__Mycoplasma_leachii,3.0
g__Neisseria.s__Neisseria_meningitidis,1.0
g__Nitrobacter.s__Nitrobacter_hamburgensis,5.0
g__Nocardia.s__Nocardia_cyriacigeorgica,2.0
g__Nocardioides.s__Nocardioides_sp_CF8,1.0
g__Novosphingobium.s__Novosphingobium_lindaniclasticum,1.0
g__Novosphingobium.s__Novosphingobium_sp_B_7,1.0
g__Novosphingobium.s__Novosphingobium_tardaugens,1.0
g__Oscillatoria.s__Oscillatoria_formosa,1.0
g__Paenibacillus.s__Paenibacillus_lactis,2.0
g__Paenibacillus.s__Paenibacillus_sp_A9,1.0
g__Paenibacillus.s__Paenibacillus_sp_ICGEB2008,9.0
g__Parabacteroides.s__Parabacteroides_distasonis,239.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,14655.0
g__Parabacteroides.s__Parabacteroides_johnsonii,3132.0
g__Parabacteroides.s__Parabacteroides_merdae,6769.0
g__Parabacteroides.s__Parabacteroides_sp_20_3,7.0
g__Parabacteroides.s__Parabacteroides_sp_ASF519,16708.0
g__Parabacteroides.s__Parabacteroides_sp_D13,121.0
g__Parabacteroides.s__Parabacteroides_sp_D25,8.0
g__Paraprevotella.s__Paraprevotella_clara,8.0
g__Parvimonas.s__Parvimonas_micra,55.0
g__Pasteurella.s__Pasteurella_multocida,1.0
g__Pedosphaera.s__Pedosphaera_parvula,7.0
g__Pelosinus.s__Pelosinus_fermentans,1.0
g__Pelosinus.s__Pelosinus_sp_HCF1,1.0
g__Peptostreptococcaceae_noname.s__Clostridium_bartlettii,87.0
g__Peptostreptococcaceae_noname.s__Clostridium_difficile,2.0
g__Peptostreptococcaceae_noname.s__Clostridium_hiranonis,2.0
g__Peptostreptococcaceae_noname.s__Clostridium_sordellii,24.0
g__Perkinsus.s__Perkinsus_marinus,74.0
g__Phenylobacterium.s__Phenylobacterium_zucineum,2.0
g__Plasmodium.s__Plasmodium_berghei,109.0
g__Plasmodium.s__Plasmodium_chabaudi,23.0
g__Plasmodium.s__Plasmodium_yoelii,37.0
g__Polaromonas.s__Polaromonas_sp_CF318,3.0
g__Polynucleobacter.s__Polynucleobacter_necessarius,1.0
g__Porphyrobacter.s__Porphyrobacter_sp_AAP82,1.0
g__Porphyromonas.s__Porphyromonas_asaccharolytica,1.0
g__Porphyromonas.s__Porphyromonas_cansulci,1.0
g__Porphyromonas.s__Porphyromonas_crevioricanis,6.0
g__Porphyromonas.s__Porphyromonas_gingivalis,12.0
g__Prevotella.s__Prevotella_amnii,1.0
