Taxonomy,Length,Reads,RPK
root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae;g_Pseudomonas;s_Pseudomonas veronii,1935,15,16.52173913043478
root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides goldsteinii,1641,27,16.453382084095065
root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_Agrobacterium;s_Agrobacterium tumefaciens,3786,17,16.33782746256728
root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_Sphingomonas;s_Sphingomonas melonis,2103,33,15.691868758915833
root;k_Bacteria;p_Spirochaetes;c_Spirochaetia;o_Spirochaetales;f_;g_;s_Olavius algarvensis spirochete endosymbiont,375,3,15.584415584415584
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium butyricum,1158,9,15.544041450777204
root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Prevotellaceae;g_Prevotella;s_Prevotella scopos,3018,46,15.241882041086814
root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_;s_Comamonadaceae bacterium B1,465,7,15.053763440860214
root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium;s_Bradyrhizobium sp. S23321,18174,16,14.966389788828993
root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Nitrosomonadales;f_Thiobacillaceae;g_Thiobacillus;s_Thiobacillus denitrificans,1239,9,14.44991789819376
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Lactobacillus;s_Lactobacillus ruminis,5685,18,14.326151557141513
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium FC3,283,4,14.13427561837456
root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Methylobacteriaceae;g_Methylobacterium,1578,11,13.813379602853285
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium tetani,3615,25,13.593073593073594
root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Porphyromonadaceae;g_Petrimonas;s_Petrimonas mucosa,1935,5,13.569192124191447
root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium;s_Bradyrhizobium sp. BTAi1,2502,6,13.544727681113471
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Bacillus;s_Bacillus atrophaeus,3492,13,13.477959479471911
root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium,17253,29,13.458028370060363
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_;s_uncultured Lachnospiraceae bacterium,443,3,13.162349754528524
root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae;g_Pseudomonas,14544,15,13.05804674049232
root;k_;p_;c_;o_;f_;g_;s_uncultured prokaryote,5737,9,13.018627121385961
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Lactobacillus;s_Lactobacillus ginsenosidimutans,774,5,12.919896640826874
root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_;f_;g_Polymorphum;s_Polymorphum gilvum,1239,16,12.9136400322841
root;k_Bacteria;p_;c_;o_;f_;g_;s_candidate division TM6 bacterium GW2011_GWF2_28_16,735,9,12.244897959183673
root;k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae;g_Chryseobacterium;s_Chryseobacterium gallinarum,738,9,12.195121951219512
root;k_Bacteria;p_Bacteroidetes;c_;o_;f_;g_;s_uncultured rumen bacterium jw81RRI,165,2,12.121212121212121
root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales,1986,24,12.084592145015106
root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Candidatus Blochmannia;s_Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri,933,11,11.789924973204716
root;k_Bacteria;p_Cyanobacteria;c_;o_Synechococcales;f_Synechococcaceae;g_Synechococcus;s_Synechococcus sp. PCC 7502,2238,17,11.72605839098464
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Ruminococcaceae;g_Ruminiclostridium;s_[Eubacterium] siraeum,342,2,11.695906432748536
root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae;g_Pseudomonas;s_Pseudomonas syringae group genomosp. 3,1710,10,11.695906432748536
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Lactobacillus;s_Lactobacillus johnsonii,1113,13,11.680143755615454
root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Cupriavidus;s_Cupriavidus metallidurans,528,6,11.363636363636363
root;k_Bacteria;p_Firmicutes;c_;o_;f_;g_;s_uncultured Firmicutes bacterium,354,2,11.299435028248588
root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Phyllobacteriaceae;g_Mesorhizobium;s_Mesorhizobium amorphae,4554,17,11.16557734204793
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium,2067,6,11.160216868518768
root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Alcaligenaceae;g_Bordetella;s_Bordetella pertussis,1008,11,10.912698412698413
root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Caulobacter;s_Caulobacter henricii,1287,14,10.878010878010878
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Oceanobacillus;s_Oceanobacillus iheyensis,1314,14,10.6544901065449
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium carboxidivorans,3474,12,10.647368273651047
root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Nitrosomonadales;f_Methylophilaceae;g_Methylophilus;s_Methylophilus sp. TWE2,1692,18,10.638297872340425
root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium;s_Bradyrhizobium sp. CCGE-LA001,1597,10,10.110919566302229
root;k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae;g_Formosa;s_Formosa sp. Hel1_31_208,399,4,10.025062656641603
root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_Alistipes;s_Alistipes finegoldii,4038,20,9.905894006934124
root;k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae;g_Flavobacterium;s_Flavobacterium johnsoniae,1071,5,9.59716991897752
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales,2993,5,9.515998634302205
root;k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae;g_Leeuwenhoekiella;s_uncultured Leeuwenhoekiella sp.,108,1,9.25925925925926
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria,4533,10,9.192181271335514
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia,999,3,9.145189328093114
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Ruminococcaceae;g_Ruminiclostridium;s_[Clostridium] cellulolyticum,1320,6,9.09090909090909
root;k_Bacteria;p_Deinococcus-Thermus;c_Deinococci;o_Thermales;f_Thermaceae;g_Thermus;s_Thermus scotoductus,444,4,9.00900900900901
root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Xanthomonas;s_Xanthomonas oryzae,4101,17,8.9703904655908
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Staphylococcaceae;g_Staphylococcus;s_Staphylococcus saprophyticus,1011,3,8.919365352487093
root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Prevotellaceae;g_Prevotella;s_Prevotella melaninogenica,6359,4,8.798685361855451
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Lactobacillus;s_Lactobacillus acetotolerans,1626,7,8.61008610086101
root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Phyllobacteriaceae;g_Mesorhizobium;s_Mesorhizobium japonicum,1776,7,8.491493151526319
root;k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae;g_Wenyingzhuangia;s_Wenyingzhuangia fucanilytica,1314,11,8.37138508371385
root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Thiotrichales;f_Francisellaceae;g_Francisella;s_Francisella sp. FSC1006,1122,9,8.02139037433155
root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Vibrionales;f_Vibrionaceae;g_Vibrio,2004,8,7.984031936127744
root;k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae;g_Elizabethkingia;s_Elizabethkingia miricola,2613,5,7.9394166804832
root;k_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_Desulfobacterales;f_Desulfobacteraceae;g_Desulfobacula;s_Desulfobacula toluolica,2802,11,7.851534618129907
root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales,6108,5,7.769571153942854
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Lactobacillus;s_Lactobacillus buchneri,129,1,7.751937984496124
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Staphylococcaceae;g_Staphylococcus;s_Staphylococcus epidermidis,7401,8,7.707981922143344
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia obeum,3822,4,7.5829948067794595
root;k_Bacteria;p_Proteobacteria,11610,11,7.393755234577285
root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Odoribacteraceae;g_Odoribacter;s_Odoribacter splanchnicus,9435,11,7.377807369457963
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiales Family XIII. Incertae Sedis;g_;s_[Eubacterium] sulci,819,3,7.157814582143537
root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rickettsiales;f_Anaplasmataceae;g_;s_uncultured Anaplasmataceae bacterium,141,1,7.092198581560284
root;k_Bacteria;p_Bacteroidetes;c_Chitinophagia;o_Chitinophagales;f_Chitinophagaceae;g_Chitinophaga;s_Chitinophaga pinensis,283,2,7.06713780918728
root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Prevotellaceae;g_Prevotella;s_Prevotella sp. oral taxon G94,144,1,6.944444444444445
root;k_Bacteria;p_Cyanobacteria;c_;o_;f_;g_;s_uncultured cyanobacterium,144,1,6.944444444444445
root;k_Bacteria;p_Bacteroidetes;c_;o_;f_;g_;s_uncultured Bacteroidetes bacterium,144,1,6.944444444444445
root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Porphyromonadaceae;g_;s_uncultured Porphyromonadaceae bacterium,144,1,6.944444444444445
root;k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Blattabacteriaceae;g_Candidatus Brownia;s_Candidatus Brownia rhizoecola,144,1,6.944444444444445
root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Paracoccus;s_Paracoccus sp. AD-B4,144,1,6.944444444444445
root;k_Bacteria;p_;c_;o_;f_;g_;s_candidate division SR1 bacterium Aalborg_AAW-1,144,1,6.944444444444445
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium pasteurianum,1251,4,6.897117028501839
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Ruminococcaceae;g_Ruminococcus;s_uncultured Ruminococcus sp.,147,1,6.802721088435375
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Bacillus;s_Bacillus cytotoxicus,450,3,6.666666666666666
root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Afipia;s_Afipia sp. GAS231,762,5,6.561679790026247
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Lachnoclostridium;s_Lachnoclostridium sp. YL32,459,3,6.5359477124183005
root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. JS42,2133,6,6.502578736939107
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured rumen bacterium,7860,9,6.371589770488276
root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_Sphingobium;s_Sphingobium japonicum,477,3,6.289308176100629
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Staphylococcaceae;g_Staphylococcus;s_Staphylococcus aureus,5073,6,6.275922095100552
root;k_Bacteria;p_Candidatus Woesebacteria;c_;o_;f_;g_;s_Candidatus Woesebacteria bacterium GW2011_GWF1_31_35,162,1,6.172839506172839
