taxa,reads
g__Clostridium.s__Clostridium_sp_ASF502,25.0
g__Clostridium.s__Clostridium_sp_ATCC_BAA_442,4.0
g__Clostridium.s__Clostridium_sp_BL8,11.0
g__Clostridium.s__Clostridium_sp_D5,56.0
g__Clostridium.s__Clostridium_sp_KLE_1755,14.0
g__Clostridium.s__Clostridium_sp_L2_50,110.0
g__Clostridium.s__Clostridium_sp_M62_1,43.0
g__Clostridium.s__Clostridium_sp_SS2_1,283.0
g__Clostridium.s__Clostridium_sp_SY8519,7.0
g__Clostridium.s__Clostridium_sporogenes,1.0
g__Clostridium.s__Clostridium_symbiosum,136.0
g__Clostridium.s__Clostridium_thermocellum,5.0
g__Coccidioides.s__Coccidioides_immitis,2.0
g__Coccidioides.s__Coccidioides_posadasii,56.0
g__Coleofasciculus.s__Coleofasciculus_chthonoplastes,2.0
g__Collimonas.s__Collimonas_fungivorans,4.0
g__Colwellia.s__Colwellia_piezophila,17.0
g__Comamonas.s__Comamonas_testosteroni,2.0
g__Coprinopsis.s__Coprinopsis_cinerea,8.0
g__Coprobacillus.s__Coprobacillus_sp_D6,1.0
g__Coprococcus.s__Coprococcus_catus,2.0
g__Coprococcus.s__Coprococcus_comes,7.0
g__Coprococcus.s__Coprococcus_eutactus,132.0
g__Coprococcus.s__Coprococcus_sp_HPP0048,2.0
g__Coprococcus.s__Coprococcus_sp_HPP0074,4.0
g__Corynebacterium.s__Corynebacterium_accolens,36.0
g__Corynebacterium.s__Corynebacterium_capitovis,1.0
g__Corynebacterium.s__Corynebacterium_kroppenstedtii,4.0
g__Corynebacterium.s__Corynebacterium_pseudogenitalium,2.0
g__Coxiella.s__Coxiella_burnetii,67.0
g__Crinalium.s__Crinalium_epipsammum,1.0
g__Crocosphaera.s__Crocosphaera_watsonii,4.0
g__Cronobacter.s__Cronobacter_dublinensis,2.0
g__Cronobacter.s__Cronobacter_sakazakii,1.0
g__Cronobacter.s__Cronobacter_turicensis,1.0
g__Cronobacter.s__Cronobacter_universalis,1.0
g__Cryptosporidium.s__Cryptosporidium_muris,1.0
g__Cryptosporidium.s__Cryptosporidium_parvum,6.0
g__Cupriavidus.s__Cupriavidus_sp_WS,6.0
g__Curvibacter.s__Curvibacter_lanceolatus,9.0
g__Cyanothece.s__Cyanothece_sp_CCY0110,1.0
g__Cyanothece.s__Cyanothece_sp_PCC_7424,1.0
g__Cylindrospermum.s__Cylindrospermum_stagnale,3.0
g__Dechloromonas.s__Dechloromonas_aromatica,1.0
g__Dehalobacter.s__Dehalobacter_sp_E1,1.0
g__Delftia.s__Delftia_acidovorans,2.0
g__Dermacoccus.s__Dermacoccus_sp_Ellin185,4.0
g__Desulfococcus.s__Desulfococcus_multivorans,1.0
g__Desulfovibrio.s__Desulfovibrio_alkalitolerans,1.0
g__Dictyostelium.s__Dictyostelium_discoideum,25.0
g__Dictyostelium.s__Dictyostelium_purpureum,9.0
g__Dokdonia.s__Dokdonia_donghaensis,2.0
g__Dorea.s__Dorea_formicigenerans,10.0
g__Dorea.s__Dorea_longicatena,1043.0
g__Dorea.s__Dorea_sp_5_2,57.0
g__Duganella.s__Duganella_zoogloeoides,12.0
g__Dyella.s__Dyella_ginsengisoli,2.0
g__Edwardsiella.s__Edwardsiella_ictaluri,1.0
g__Elizabethkingia.s__Elizabethkingia_anophelis,5.0
g__Endoriftia.s__Endoriftia_persephone,2.0
g__Enhydrobacter.s__Enhydrobacter_aerosaccus,2.0
g__Enterobacter.s__Enterobacter_cloacae,12.0
g__Enterobacter.s__Enterobacter_sp_MGH_14,1.0
g__Enterobacteriaceae_noname.s__Plautia_stali_symbiont,1.0
g__Enterococcus.s__Enterococcus_casseliflavus,2.0
g__Enterococcus.s__Enterococcus_cecorum,3.0
g__Enterococcus.s__Enterococcus_columbae,1.0
g__Enterococcus.s__Enterococcus_durans,1.0
g__Enterococcus.s__Enterococcus_faecalis,394.0
g__Enterococcus.s__Enterococcus_faecium,285.0
g__Enterococcus.s__Enterococcus_gallinarum,1.0
g__Enterococcus.s__Enterococcus_moraviensis,2.0
g__Enterococcus.s__Enterococcus_raffinosus,3.0
g__Enterovibrio.s__Enterovibrio_calviensis,4.0
g__Eremothecium.s__Eremothecium_cymbalariae,2.0
g__Erysipelotrichaceae_noname.s__Clostridium_innocuum,4.0
g__Erysipelotrichaceae_noname.s__Erysipelotrichaceae_bacterium_2_2_44A,2.0
g__Erysipelotrichaceae_noname.s__Erysipelotrichaceae_bacterium_6_1_45,1.0
g__Escherichia.s__Escherichia_albertii,3.0
g__Escherichia.s__Escherichia_coli,137.0
g__Escherichia.s__Escherichia_fergusonii,3.0
g__Escherichia.s__Escherichia_sp_1_1_43,55.0
g__Escherichia.s__Escherichia_sp_3_2_53FAA,42.0
g__Escherichia.s__Escherichia_sp_4_1_40B,72.0
g__Escherichia.s__Escherichia_sp_TW09231,3.0
g__Escherichia.s__Escherichia_sp_TW09308,2.0
g__Escherichia.s__Escherichia_sp_TW10509,5.0
g__Escherichia.s__Escherichia_sp_TW11588,1.0
g__Eubacteriaceae_noname.s__Eubacteriaceae_bacterium_OBRC8,5.0
g__Eubacterium.s__Eubacterium_cellulosolvens,1.0
g__Eubacterium.s__Eubacterium_hallii,4.0
g__Eubacterium.s__Eubacterium_limosum,3.0
g__Eubacterium.s__Eubacterium_plexicaudatum,56.0
g__Eubacterium.s__Eubacterium_ramulus,5.0
g__Eubacterium.s__Eubacterium_rectale,8.0
g__Eubacterium.s__Eubacterium_sp_14_2,54.0
g__Eubacterium.s__Eubacterium_ventriosum,71.0
g__Exiguobacterium.s__Exiguobacterium_pavilionensis,1.0
g__Faecalibacterium.s__Faecalibacterium_prausnitzii,53.0
g__Fibrisoma.s__Fibrisoma_limi,1.0
g__Filobasidiella.s__Cryptococcus_neoformans,2.0
g__Finegoldia.s__Finegoldia_magna,13.0
g__Fischerella.s__Fischerella_muscicola,1.0
g__Fischerella.s__Fischerella_sp_PCC_9339,1.0
g__Fischerella.s__Fischerella_thermalis,1.0
g__Flavobacteriales_noname.s__Flavobacteria_bacterium_BAL38,1.0
g__Flavobacteriales_noname.s__Flavobacteriales_bacterium_ALC_1,1.0
