GeneID,RPK,taxa
UNMAPPED|UNMAPPED,2164110.0,UNMAPPED
UniRef90_K6AUL6|g__Parabacteroides.s__Parabacteroides_goldsteinii,41.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2BCN4|g__Parabacteroides.s__Parabacteroides_goldsteinii,41.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N4MKJ8|unclassified,40.3564980788,unclassified
UniRef90_F7AA48|unclassified,40.123997645500005,unclassified
UniRef90_K5Y8F0|g__Parabacteroides.s__Parabacteroides_goldsteinii,40.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2AUT8|g__Parabacteroides.s__Parabacteroides_goldsteinii,40.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_J3SBR0|unclassified,39.9396297778,unclassified
UniRef90_B0NWR4|unclassified,39.7885308396,unclassified
UniRef90_K4FXW8|unclassified,39.450285020100004,unclassified
UniRef90_K4G302|unclassified,39.450285020100004,unclassified
UniRef90_D5H1L5|unclassified,38.4904268193,unclassified
UniRef90_K7E4C1|unclassified,38.3140655493,unclassified
UniRef90_K6ALM3|g__Parabacteroides.s__Parabacteroides_goldsteinii,38.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_I7JND3|unclassified,37.8831854707,unclassified
UniRef90_Q603S8|unclassified,37.4422036423,unclassified
UniRef90_K6A0T5|g__Parabacteroides.s__Parabacteroides_goldsteinii,37.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6AYR2|g__Parabacteroides.s__Parabacteroides_goldsteinii,37.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A913|g__Parabacteroides.s__Parabacteroides_goldsteinii,36.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_B0NER4|unclassified,35.2720879544,unclassified
UniRef90_A6LE84|g__Parabacteroides.s__Parabacteroides_goldsteinii,35.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_Q59199|g__Parabacteroides.s__Parabacteroides_goldsteinii,35.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_W8ZHX5|unclassified,34.8077112194,unclassified
UniRef90_UPI00035E867A|unclassified,34.5338780684,unclassified
UniRef90_A2VD29|unclassified,34.5263423317,unclassified
UniRef90_Q4YHT4|unclassified,34.4388637317,unclassified
UniRef90_X5NU12|unclassified,34.2925817012,unclassified
UniRef90_N2ASE1|g__Parabacteroides.s__Parabacteroides_goldsteinii,34.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2BA16|g__Parabacteroides.s__Parabacteroides_goldsteinii,34.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R7JA67|g__Parabacteroides.s__Parabacteroides_goldsteinii,34.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_C9TIJ6|unclassified,33.4799303295,unclassified
UniRef90_Q4YHX4|unclassified,32.354519757199995,unclassified
UniRef90_B0NIM7|unclassified,32.1915951511,unclassified
UniRef90_K5ZIB0|g__Parabacteroides.s__Parabacteroides_goldsteinii,32.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZVS1|g__Parabacteroides.s__Parabacteroides_goldsteinii,32.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A0A016JHV3|unclassified,31.0,unclassified
UniRef90_K5YG13|g__Parabacteroides.s__Parabacteroides_goldsteinii,31.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZMM5|g__Parabacteroides.s__Parabacteroides_goldsteinii,31.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2BCA3|g__Parabacteroides.s__Parabacteroides_goldsteinii,31.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A2PD65|unclassified,30.5616374166,unclassified
UniRef90_R6Y7R4|g__Parabacteroides.s__Parabacteroides_goldsteinii,30.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A6LC65|g__Parabacteroides.s__Parabacteroides_goldsteinii,29.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YXU2|g__Parabacteroides.s__Parabacteroides_goldsteinii,29.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZA22|g__Parabacteroides.s__Parabacteroides_goldsteinii,29.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZHP0|g__Parabacteroides.s__Parabacteroides_goldsteinii,29.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_Q4YI61|unclassified,28.849079031,unclassified
UniRef90_E5VPR3|unclassified,28.3863119636,unclassified
UniRef90_K6A5E7|g__Parabacteroides.s__Parabacteroides_goldsteinii,28.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_C9B2Y6|unclassified,27.6737011206,unclassified
UniRef90_K5Z9T8|g__Parabacteroides.s__Parabacteroides_goldsteinii,27.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A1W5|g__Parabacteroides.s__Parabacteroides_goldsteinii,27.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N1ZMZ6|unclassified,27.0,unclassified
UniRef90_W8YEH7|unclassified,26.3695364387,unclassified
UniRef90_A6LER8|g__Parabacteroides.s__Parabacteroides_goldsteinii,26.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZHA6|g__Parabacteroides.s__Parabacteroides_goldsteinii,26.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_Q5L7N5|g__Parabacteroides.s__Parabacteroides_goldsteinii,26.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_F3R5J3|unclassified,25.242700427800003,unclassified
UniRef90_K5ZAW1|g__Parabacteroides.s__Parabacteroides_goldsteinii,25.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6ABH6|g__Parabacteroides.s__Parabacteroides_goldsteinii,25.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZLY5|g__Parabacteroides.s__Parabacteroides_goldsteinii,24.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZUP3|g__Parabacteroides.s__Parabacteroides_goldsteinii,24.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A6H0|g__Parabacteroides.s__Parabacteroides_goldsteinii,24.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2APF1|g__Parabacteroides.s__Parabacteroides_goldsteinii,24.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_Q6QI74|unclassified,23.4122899608,unclassified
UniRef90_K5YXZ5|g__Parabacteroides.s__Parabacteroides_goldsteinii,23.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZNE6|g__Parabacteroides.s__Parabacteroides_goldsteinii,23.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZNM3|g__Parabacteroides.s__Parabacteroides_goldsteinii,23.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A6V5|g__Parabacteroides.s__Parabacteroides_goldsteinii,23.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_W1W9S2|unclassified,22.784173424000002,unclassified
UniRef90_Q4YA27|unclassified,22.7697589761,unclassified
UniRef90_Q57H85|unclassified,22.281403399600002,unclassified
UniRef90_K6A3T3|g__Parabacteroides.s__Parabacteroides_goldsteinii,22.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2B002|g__Parabacteroides.s__Parabacteroides_goldsteinii,22.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YUI7|g__Parabacteroides.s__Parabacteroides_goldsteinii,21.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZP77|g__Parabacteroides.s__Parabacteroides_goldsteinii,21.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZWW9|g__Parabacteroides.s__Parabacteroides_goldsteinii,21.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A7ACD2|unclassified,20.9799123949,unclassified
UniRef90_W8ZBZ9|unclassified,20.7283771753,unclassified
UniRef90_C7T764|unclassified,20.1865035647,unclassified
UniRef90_A6LEF2|g__Parabacteroides.s__Parabacteroides_goldsteinii,20.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZDK4|g__Parabacteroides.s__Parabacteroides_goldsteinii,20.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2BCP5|g__Parabacteroides.s__Parabacteroides_goldsteinii,20.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R5DHZ7|g__Parabacteroides.s__Parabacteroides_goldsteinii,20.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6WP78|g__Parabacteroides.s__Parabacteroides_goldsteinii,20.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6WZT4|g__Parabacteroides.s__Parabacteroides_goldsteinii,20.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N8DUV7|unclassified,19.7552807701,unclassified
UniRef90_Q4YHF0|unclassified,19.6702386952,unclassified
