uniref90,taxa,RPK
UniRef90_N2B0W2,g__Parabacteroides.s__Parabacteroides_goldsteinii,230.0
UniRef90_UPI0001532979,unclassified,227.489920729
UniRef90_Q6QI57,unclassified,226.4908560705
UniRef90_B0NWG2,unclassified,224.2836072018
UniRef90_A7B8Q0,unclassified,219.9661116916
UniRef90_D6SEF8,unclassified,213.39596689630002
UniRef90_A7VEU0,unclassified,213.3366055773
UniRef90_K5ZBK6,g__Parabacteroides.s__Parabacteroides_goldsteinii,209.0
UniRef90_N1ZJS6,g__Clostridium.s__Clostridium_sp_ASF356,209.0
UniRef90_G1Q0M0,unclassified,207.23705602599998
UniRef90_N1ZD44,g__Clostridium.s__Clostridium_sp_ASF356,207.0
UniRef90_Q4X6W9,unclassified,205.373094526
UniRef90_M0RDL3,unclassified,205.18971170630002
UniRef90_W1I8G9,unclassified,200.19179080790002
UniRef90_C3WU82,unclassified,196.7193367854
UniRef90_Q6QI73,unclassified,195.13287393049998
UniRef90_F6XAM3,unclassified,194.13310393060002
UniRef90_Q3U577,unclassified,193.0
UniRef90_A7VEM4,unclassified,186.069973833
UniRef90_N2AR07,g__Parabacteroides.s__Parabacteroides_goldsteinii,186.0
UniRef90_Q61786,unclassified,184.54526521580001
UniRef90_Q6QI76,unclassified,184.0158376072
UniRef90_H4BMF2,unclassified,183.9532062894
UniRef90_Q7PDJ4,unclassified,183.6834835859
UniRef90_Q3UDW9,unclassified,182.86689606939998
UniRef90_Q4YVL4,unclassified,182.0
UniRef90_Q7R6T7,unclassified,178.79485124330003
UniRef90_Q4XGZ0,unclassified,178.06376306150003
UniRef90_N1ZMW5,g__Clostridium.s__Clostridium_sp_ASF356,178.0
UniRef90_K5YMQ5,g__Parabacteroides.s__Parabacteroides_goldsteinii,176.0
UniRef90_Q6QI12,unclassified,175.8060819407
UniRef90_D7UYD2,unclassified,174.619424739
UniRef90_F6Y577,unclassified,174.5318127732
UniRef90_N1ZJP8,g__Clostridium.s__Clostridium_sp_ASF356,174.0
UniRef90_N1ZF50,g__Clostridium.s__Clostridium_sp_ASF356,172.0
UniRef90_Q4YDG2,unclassified,171.81356076
UniRef90_N2AV24,g__Parabacteroides.s__Parabacteroides_goldsteinii,171.0
UniRef90_F6U8B9,unclassified,169.2430575198
UniRef90_Q4YM06,unclassified,169.231945564
UniRef90_Q6QI78,unclassified,168.1517259851
UniRef90_A8ST13,unclassified,167.8087262228
UniRef90_Q4YF60,unclassified,166.4690316281
UniRef90_N2AP30,g__Parabacteroides.s__Parabacteroides_goldsteinii,166.0
UniRef90_N1ZHM2,g__Clostridium.s__Clostridium_sp_ASF356,165.0
UniRef90_B0NEX9,unclassified,164.9710019277
UniRef90_F9WEI7,unclassified,164.1910426499
UniRef90_Q4YIQ8,unclassified,162.7637579415
UniRef90_N1ZDV0,g__Clostridium.s__Clostridium_sp_ASF356,160.0
UniRef90_M0RAE2,unclassified,158.4832193241
UniRef90_N2ASE1,g__Parabacteroides.s__Parabacteroides_goldsteinii,158.0
UniRef90_UPI0001FD331E,unclassified,156.8372617401
UniRef90_P11365,unclassified,156.66474359120002
UniRef90_UPI00036D18AF,unclassified,156.1220164986
UniRef90_Q4XCT2,unclassified,155.8838076416
UniRef90_M0R5C9,unclassified,155.2555923974
UniRef90_Q4Y9K5,unclassified,154.1618299164
UniRef90_K5ZGQ2,g__Parabacteroides.s__Parabacteroides_goldsteinii,154.0
UniRef90_A5KR94,unclassified,152.5386826011
UniRef90_F9W6J4,unclassified,151.5840487334
UniRef90_W1YRV6,unclassified,151.23363775110002
UniRef90_N1Z9S5,g__Clostridium.s__Clostridium_sp_ASF356,151.0
UniRef90_R9HR76,g__Parabacteroides.s__Parabacteroides_goldsteinii,151.0
UniRef90_E9RZN0,unclassified,149.0
UniRef90_Q7PDK2,unclassified,148.54640755559998
UniRef90_Q6QI65,unclassified,148.5211946387
UniRef90_D4VKI7,g__Parabacteroides.s__Parabacteroides_goldsteinii,148.0
UniRef90_Q4YJD2,unclassified,147.9830470497
UniRef90_Q63306,unclassified,147.5392072582
UniRef90_N1ZLN7,g__Clostridium.s__Clostridium_sp_ASF356,146.0
UniRef90_N1ZLP5,g__Clostridium.s__Clostridium_sp_ASF356,145.0
UniRef90_V2QGK8,g__Mucispirillum.s__Mucispirillum_schaedleri,144.0
UniRef90_Q4YK75,unclassified,143.93787830760002
UniRef90_K6A2W1,g__Parabacteroides.s__Parabacteroides_goldsteinii,142.0
UniRef90_N2B2Y0,g__Parabacteroides.s__Parabacteroides_goldsteinii,140.0
UniRef90_Q1W5W7,unclassified,139.5171504192
UniRef90_N1ZE02,g__Clostridium.s__Clostridium_sp_ASF356,138.0
UniRef90_UPI0002B431B5,unclassified,137.59348043399999
UniRef90_N2BCN2,g__Parabacteroides.s__Parabacteroides_goldsteinii,137.0
UniRef90_A5ZQM3,unclassified,136.8219463967
UniRef90_N1Z584,g__Clostridium.s__Clostridium_sp_ASF356,135.0
UniRef90_Q4YJP8,unclassified,134.1690617813
UniRef90_U3F7S4,unclassified,134.1410772177
UniRef90_Q7R8D5,unclassified,133.97224035969998
UniRef90_Q6TUF6,unclassified,133.41904752920001
UniRef90_K5YVX5,g__Parabacteroides.s__Parabacteroides_goldsteinii,133.0
UniRef90_A5Z319,unclassified,131.9879121815
UniRef90_W2CMU2,unclassified,131.3734243201
UniRef90_K5ZUF0,g__Parabacteroides.s__Parabacteroides_goldsteinii,131.0
UniRef90_N2ARM6,g__Parabacteroides.s__Parabacteroides_goldsteinii,131.0
UniRef90_P11368,unclassified,130.23831460120002
UniRef90_M0RBB4,unclassified,129.9783191691
UniRef90_F9W7P6,unclassified,128.3351949384
UniRef90_C6EQK5,unclassified,127.8430111052
UniRef90_Q7R7B7,unclassified,127.6544729986
UniRef90_Q7R848,unclassified,127.59822659700001
UniRef90_Q4YJG8,unclassified,127.59678141139999
UniRef90_D5GZ89,unclassified,127.3588919082
UniRef90_N2AWR0,g__Parabacteroides.s__Parabacteroides_goldsteinii,126.0
UniRef90_K5ZTW4,g__Parabacteroides.s__Parabacteroides_goldsteinii,125.0
UniRef90_N1ZJC2,g__Clostridium.s__Clostridium_sp_ASF356,125.0
UniRef90_Q7R6T9,unclassified,124.8444749736
UniRef90_Q4X8Q0,unclassified,124.8363797903
UniRef90_Q89YG2,g__Parabacteroides.s__Parabacteroides_goldsteinii,124.0
UniRef90_Q7R6V2,unclassified,123.3231071515
UniRef90_Q99JK9,unclassified,123.090307703
UniRef90_P12894,unclassified,122.94391004290001
UniRef90_Q7R6T6,unclassified,122.8659264584
UniRef90_T1DKC0,unclassified,122.3599348998
UniRef90_Q8R4N2,unclassified,121.3795114727
UniRef90_N2BET2,g__Parabacteroides.s__Parabacteroides_goldsteinii,120.0
UniRef90_K5ZHV1,g__Parabacteroides.s__Parabacteroides_goldsteinii,119.0
UniRef90_N2AWR5,g__Parabacteroides.s__Parabacteroides_goldsteinii,119.0
UniRef90_N2BB15,g__Parabacteroides.s__Parabacteroides_goldsteinii,118.0
UniRef90_Q650D2,g__Parabacteroides.s__Parabacteroides_goldsteinii,118.0
UniRef90_C6JSD0,unclassified,117.66818207899999
UniRef90_K5YC15,g__Parabacteroides.s__Parabacteroides_goldsteinii,117.0
UniRef90_K5ZTD3,g__Parabacteroides.s__Parabacteroides_goldsteinii,117.0
UniRef90_F9WHP5,unclassified,116.76555879620001
UniRef90_N1ZHR0,g__Clostridium.s__Clostridium_sp_ASF356,116.0
UniRef90_N1ZIW4,g__Clostridium.s__Clostridium_sp_ASF356,115.0
UniRef90_A5ZYV5,unclassified,114.8866259221
UniRef90_Q7TP71,unclassified,114.5149794885
UniRef90_Q7R7S5,unclassified,114.0866195358
UniRef90_K5ZA95,g__Parabacteroides.s__Parabacteroides_goldsteinii,113.0
UniRef90_M9QMK2,unclassified,112.9543764499
UniRef90_Q7R7K6,unclassified,111.8424015875
UniRef90_N2B745,g__Parabacteroides.s__Parabacteroides_goldsteinii,111.0
UniRef90_K6A1M8,g__Parabacteroides.s__Parabacteroides_goldsteinii,110.0
UniRef90_K6A3S9,g__Parabacteroides.s__Parabacteroides_goldsteinii,110.0
UniRef90_Q4YJY6,unclassified,109.3535672757
UniRef90_Q4YHF6,unclassified,109.1376496906
UniRef90_K6A3R9,g__Parabacteroides.s__Parabacteroides_goldsteinii,109.0
UniRef90_K6ARN5,g__Parabacteroides.s__Parabacteroides_goldsteinii,109.0
UniRef90_N2B5B5,g__Parabacteroides.s__Parabacteroides_goldsteinii,109.0
UniRef90_N2B6S5,g__Parabacteroides.s__Parabacteroides_goldsteinii,108.0
UniRef90_Q64WK2,g__Parabacteroides.s__Parabacteroides_goldsteinii,108.0
UniRef90_Q4YGR4,unclassified,107.03515878370001
UniRef90_K6A3K1,g__Parabacteroides.s__Parabacteroides_goldsteinii,107.0
