uniref90,taxa,RPK
UniRef90_K6AGA7,g__Parabacteroides.s__Parabacteroides_goldsteinii,170.0
UniRef90_K8EDY4,unclassified,169.608104312
UniRef90_K5YZ96,g__Parabacteroides.s__Parabacteroides_goldsteinii,168.0
UniRef90_K5ZVM8,g__Parabacteroides.s__Parabacteroides_goldsteinii,168.0
UniRef90_D6S3A2,unclassified,167.8552866011
UniRef90_K5Y8F0,g__Parabacteroides.s__Parabacteroides_goldsteinii,167.0
UniRef90_K7E4C1,unclassified,166.0222254821
UniRef90_K5Z035,g__Parabacteroides.s__Parabacteroides_goldsteinii,166.0
UniRef90_T0NDH0,unclassified,164.3860620783
UniRef90_K7EZW6,unclassified,163.48706526450002
UniRef90_N1ZAM5,g__Clostridium.s__Clostridium_sp_ASF356,163.0
UniRef90_Q5BXX7,unclassified,162.9913112307
UniRef90_UPI000203B445,unclassified,162.6738140706
UniRef90_Q7R7N2,unclassified,162.0028011385
UniRef90_D7UYD2,unclassified,159.2702664951
UniRef90_A5ZYU5,unclassified,155.8110337619
UniRef90_Q7R856,unclassified,153.6285814988
UniRef90_A7LQH0,unclassified,153.0475127838
UniRef90_E3ZUM0,unclassified,152.59695718
UniRef90_G3N917,unclassified,152.1575610687
UniRef90_N1Z5G6,g__Clostridium.s__Clostridium_sp_ASF356,152.0
UniRef90_Q4YIV1,unclassified,151.6547021952
UniRef90_A2VD29,unclassified,150.0831787695
UniRef90_K4G302,unclassified,149.8175207983
UniRef90_K4FXW8,unclassified,149.7075515857
UniRef90_Q7PD06,unclassified,149.0744363197
UniRef90_B7R8V5,unclassified,148.1248294551
UniRef90_K5ZUP3,g__Parabacteroides.s__Parabacteroides_goldsteinii,148.0
UniRef90_N2AP30,g__Parabacteroides.s__Parabacteroides_goldsteinii,148.0
UniRef90_W7JSH6,unclassified,147.4178802038
UniRef90_A8SIA6,unclassified,147.3634938843
UniRef90_B0NEX9,unclassified,147.0605805587
UniRef90_Q4YJ79,unclassified,146.2773602033
UniRef90_P11260,unclassified,145.4362653624
UniRef90_A7B6K6,unclassified,144.8113290428
UniRef90_A5ZQM3,unclassified,144.12434282389998
UniRef90_A5ZYV5,unclassified,141.7171240554
UniRef90_N2BCA3,g__Parabacteroides.s__Parabacteroides_goldsteinii,141.0
UniRef90_K5Y6T8,g__Parabacteroides.s__Parabacteroides_goldsteinii,140.0
UniRef90_N2AS70,g__Parabacteroides.s__Parabacteroides_goldsteinii,140.0
UniRef90_R5DHZ7,g__Parabacteroides.s__Parabacteroides_goldsteinii,139.0
UniRef90_K6AUL6,g__Parabacteroides.s__Parabacteroides_goldsteinii,138.0
UniRef90_N1ZRS8,g__Clostridium.s__Clostridium_sp_ASF356,138.0
UniRef90_N2AR07,g__Parabacteroides.s__Parabacteroides_goldsteinii,138.0
UniRef90_Q9QUJ6,unclassified,137.4113568594
UniRef90_M1XNQ3,unclassified,137.166361496
UniRef90_D4CI50,unclassified,136.1532702595
UniRef90_K6ARN5,g__Parabacteroides.s__Parabacteroides_goldsteinii,136.0
UniRef90_Q8A6A5,g__Parabacteroides.s__Parabacteroides_goldsteinii,136.0
UniRef90_A6BKY7,unclassified,133.3357364317
UniRef90_K5ZYB1,g__Parabacteroides.s__Parabacteroides_goldsteinii,133.0
UniRef90_N2BGZ1,g__Parabacteroides.s__Parabacteroides_goldsteinii,133.0
UniRef90_W9ES03,unclassified,132.8435397135
UniRef90_Q4YIL0,unclassified,131.4057274971
UniRef90_UPI0001FABDB5,unclassified,130.12195582459998
UniRef90_K5Z9T8,g__Parabacteroides.s__Parabacteroides_goldsteinii,130.0
UniRef90_N1ZMW5,g__Clostridium.s__Clostridium_sp_ASF356,130.0
UniRef90_R5I7R5,g__Parabacteroides.s__Parabacteroides_goldsteinii,130.0
UniRef90_D4PZQ0,unclassified,129.7673077935
UniRef90_R6XD50,g__Parabacteroides.s__Parabacteroides_goldsteinii,126.0
UniRef90_Q4YI71,unclassified,125.1735454009
UniRef90_D1YGT1,unclassified,123.951177753
UniRef90_A0A016JHV3,unclassified,122.0
UniRef90_R5DPL5,g__Parabacteroides.s__Parabacteroides_goldsteinii,122.0
UniRef90_K5ZU03,g__Parabacteroides.s__Parabacteroides_goldsteinii,120.0
UniRef90_Q4X4I2,unclassified,119.6759483469
UniRef90_Q7R846,unclassified,118.24934339389999
UniRef90_Q6QI57,unclassified,117.77857541739999
UniRef90_K5ZDK4,g__Parabacteroides.s__Parabacteroides_goldsteinii,117.0
UniRef90_J7TUV6,unclassified,116.16537326049999
UniRef90_N1ZIW0,g__Clostridium.s__Clostridium_sp_ASF356,116.0
UniRef90_K5ZVN3,g__Parabacteroides.s__Parabacteroides_goldsteinii,115.0
UniRef90_N2B2Y0,g__Parabacteroides.s__Parabacteroides_goldsteinii,115.0
UniRef90_R6IBF4,g__Parabacteroides.s__Parabacteroides_goldsteinii,114.0
UniRef90_C3WU82,unclassified,113.08463038629999
UniRef90_K5YMQ5,g__Parabacteroides.s__Parabacteroides_goldsteinii,113.0
UniRef90_K5Z066,g__Parabacteroides.s__Parabacteroides_goldsteinii,113.0
UniRef90_K5ZGJ0,g__Parabacteroides.s__Parabacteroides_goldsteinii,113.0
UniRef90_K6AMZ7,g__Parabacteroides.s__Parabacteroides_goldsteinii,111.0
UniRef90_N2BJ19,g__Parabacteroides.s__Parabacteroides_goldsteinii,111.0
UniRef90_J3QK61,unclassified,110.646243711
UniRef90_A6BKY9,unclassified,110.591600661
UniRef90_A7VJ92,unclassified,110.32893479260001
UniRef90_N2BC79,g__Parabacteroides.s__Parabacteroides_goldsteinii,110.0
UniRef90_R6WQ56,g__Parabacteroides.s__Parabacteroides_goldsteinii,110.0
UniRef90_W1YRV6,unclassified,109.6904383063
UniRef90_B6A8G9,unclassified,109.0
UniRef90_K6AU75,g__Parabacteroides.s__Parabacteroides_goldsteinii,109.0
UniRef90_N2B0W2,g__Parabacteroides.s__Parabacteroides_goldsteinii,109.0
UniRef90_S0GNF1,g__Parabacteroides.s__Parabacteroides_goldsteinii,109.0
UniRef90_N1ZDV0,g__Clostridium.s__Clostridium_sp_ASF356,108.0
UniRef90_R6WWF6,g__Parabacteroides.s__Parabacteroides_goldsteinii,108.0
UniRef90_Q7R7N1,unclassified,107.30584882229999
UniRef90_N1Z6E2,g__Clostridium.s__Clostridium_sp_ASF356,107.0
UniRef90_K5YN04,g__Parabacteroides.s__Parabacteroides_goldsteinii,106.0
UniRef90_N1Z2I5,g__Clostridium.s__Clostridium_sp_ASF356,106.0
UniRef90_R6X5K9,g__Parabacteroides.s__Parabacteroides_goldsteinii,106.0
UniRef90_Q61786,unclassified,105.9689934453
UniRef90_UPI00036D18AF,unclassified,105.4899678147
UniRef90_K5YUI7,g__Parabacteroides.s__Parabacteroides_goldsteinii,105.0
UniRef90_R5DQI3,g__Parabacteroides.s__Parabacteroides_goldsteinii,105.0
UniRef90_UPI0001871175,unclassified,104.1886350453
UniRef90_K5ZU12,g__Parabacteroides.s__Parabacteroides_goldsteinii,104.0
UniRef90_K6A913,g__Parabacteroides.s__Parabacteroides_goldsteinii,104.0
UniRef90_Q6QI74,unclassified,103.1138627706
UniRef90_K5Z9H7,g__Parabacteroides.s__Parabacteroides_goldsteinii,103.0
UniRef90_N1ZLP5,g__Clostridium.s__Clostridium_sp_ASF356,103.0
UniRef90_Q6QI76,unclassified,102.943919499
UniRef90_Q4YJ17,unclassified,102.403177894
UniRef90_Q7R7B8,unclassified,102.0746328279
UniRef90_Q59199,g__Parabacteroides.s__Parabacteroides_goldsteinii,102.0
UniRef90_R6IIS7,g__Parabacteroides.s__Parabacteroides_goldsteinii,102.0
UniRef90_R6WZT4,g__Parabacteroides.s__Parabacteroides_goldsteinii,102.0
UniRef90_A5ZYK8,unclassified,100.8232306808
UniRef90_A4EB57,unclassified,100.08120726290001
UniRef90_I0UD96,unclassified,99.6699604261
UniRef90_Q7PDJ4,unclassified,99.27994013280001
UniRef90_N1Z5G2,g__Clostridium.s__Clostridium_sp_ASF356,99.0
UniRef90_Q4X4D5,unclassified,98.6612700873
UniRef90_Q6QI73,unclassified,98.2570095692
UniRef90_K5YYF6,g__Parabacteroides.s__Parabacteroides_goldsteinii,98.0
UniRef90_K5YYH3,g__Parabacteroides.s__Parabacteroides_goldsteinii,98.0
UniRef90_N1ZMZ3,g__Clostridium.s__Clostridium_sp_ASF356,98.0
UniRef90_A5KR94,unclassified,97.68018010290001
UniRef90_K5ZER9,g__Parabacteroides.s__Parabacteroides_goldsteinii,97.0
UniRef90_K5ZHQ3,g__Parabacteroides.s__Parabacteroides_goldsteinii,97.0
UniRef90_K5ZIB9,g__Parabacteroides.s__Parabacteroides_goldsteinii,97.0
UniRef90_K5ZP27,g__Parabacteroides.s__Parabacteroides_goldsteinii,97.0
UniRef90_K5ZW96,g__Parabacteroides.s__Parabacteroides_goldsteinii,97.0
UniRef90_J3QN11,unclassified,96.88390540270001
UniRef90_Q7R7L5,unclassified,96.29342680010001
UniRef90_K5ZZ71,g__Parabacteroides.s__Parabacteroides_goldsteinii,96.0
UniRef90_N2B5C6,g__Parabacteroides.s__Parabacteroides_goldsteinii,96.0
UniRef90_V1EAX6,unclassified,96.0
UniRef90_A5TSU5,unclassified,95.48032843620001
