GeneID,RPK,taxa
UNMAPPED|UNMAPPED,1900477.0,UNMAPPED
UniRef90_K6AGA7|g__Parabacteroides.s__Parabacteroides_goldsteinii,96.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_Q4YH89|unclassified,95.91743979959999,unclassified
UniRef90_Q7R7M0|unclassified,95.74286917709999,unclassified
UniRef90_E5VPR3|unclassified,95.63811580149999,unclassified
UniRef90_K5ZVN3|g__Parabacteroides.s__Parabacteroides_goldsteinii,95.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A913|g__Parabacteroides.s__Parabacteroides_goldsteinii,95.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6ALV9|g__Parabacteroides.s__Parabacteroides_goldsteinii,95.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6AYS9|g__Parabacteroides.s__Parabacteroides_goldsteinii,95.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2B053|g__Parabacteroides.s__Parabacteroides_goldsteinii,95.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2B6P7|g__Parabacteroides.s__Parabacteroides_goldsteinii,94.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_Q4X778|unclassified,93.1353767116,unclassified
UniRef90_R5DPL5|g__Parabacteroides.s__Parabacteroides_goldsteinii,92.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZRS4|g__Parabacteroides.s__Parabacteroides_goldsteinii,91.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A917|g__Parabacteroides.s__Parabacteroides_goldsteinii,89.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A8SIA6|unclassified,88.8060550067,unclassified
UniRef90_Q4YHX5|unclassified,88.5278939057,unclassified
UniRef90_G1Q0M0|unclassified,88.22840589479999,unclassified
UniRef90_K5Y6S4|g__Parabacteroides.s__Parabacteroides_goldsteinii,88.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6AHB1|g__Parabacteroides.s__Parabacteroides_goldsteinii,88.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_UPI0001DA96E4|unclassified,87.8788078883,unclassified
UniRef90_A5ZYV6|unclassified,87.7108496967,unclassified
UniRef90_K5ZNM3|g__Parabacteroides.s__Parabacteroides_goldsteinii,85.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2AX94|g__Parabacteroides.s__Parabacteroides_goldsteinii,85.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZVM8|g__Parabacteroides.s__Parabacteroides_goldsteinii,84.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YTQ0|g__Parabacteroides.s__Parabacteroides_goldsteinii,83.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
