genus,reads
g__Planctomyces,1.0
g__Plasmodium,498.0
g__Podospora,25.0
g__Polaromonas,8.0
g__Polynucleobacter,17.0
g__Porphyrobacter,8.0
g__Porphyromonas,39.0
g__Prevotella,93.0
g__Propionibacterium,331.0
g__Proteus,1.0
g__Providencia,1.0
g__Pseudacidovorax,5.0
g__Pseudoalteromonas,9.0
g__Pseudoflavonifractor,6.0
g__Pseudogulbenkiania,2.0
g__Pseudomonas,376.0
g__Pseudonocardia,53.0
g__Pseudoramibacter,67.0
g__Pseudovibrio,10.0
g__Psychrobacter,6.0
g__Pyrenophora,7.0
g__Rahnella,1.0
g__Ralstonia,52.0
g__Ramlibacter,13.0
g__Raoultella,3.0
g__Rheinheimera,8.0
g__Rhizobium,23.0
g__Rhodanobacter,27.0
g__Rhodobacter,1.0
g__Rhodococcus,757.0
g__Rhodopseudomonas,79.0
g__Rhodospirillales_noname,88.0
g__Rhodospirillum,4.0
g__Rickettsia,5.0
g__Rickettsiella,2.0
g__Riemerella,1.0
g__Roseburia,1.0
g__Roseobacter,2.0
g__Roseomonas,2.0
g__Roseovarius,2.0
g__Rothia,1.0
g__Rubellimicrobium,2.0
g__Rubrivivax,7.0
g__Ruegeria,9.0
g__Ruminococcus,164.0
g__Saccharomyces,26.0
g__Sagittula,17.0
g__Salipiger,1.0
g__Salmonella,46.0
g__Scheffersomyces,22.0
g__Schizophyllum,26.0
g__Sclerotinia,3.0
g__Scytonema,3.0
g__Selenomonas,2.0
g__Serratia,8.0
g__Shewanella,4.0
g__Shigella,1024.0
g__Sideroxydans,4.0
g__Singularimonas,2.0
g__Sinorhizobium,53.0
g__Sordaria,3.0
g__Sphaerobacter,2.0
g__Sphingobium,80.0
g__Sphingomonas,76.0
g__Sphingopyxis,4.0
g__Staphylococcus,72.0
g__Starkeya,2.0
g__Stenotrophomonas,37.0
g__Streptococcus,1729.0
g__Streptomyces,68.0
g__Subdoligranulum,3.0
g__Sutterella,1.0
g__Talaromyces,64.0
g__Tannerella,125.0
g__Tetrapisispora,1.0
g__Tetrasphaera,1.0
g__Thalassiosira,1718.0
g__Thauera,2.0
g__Thermosinus,31.0
g__Thielavia,177.0
g__Thioalkalivibrio,4.0
g__Thiobacillus,1.0
g__Toxoplasma,11.0
g__Trypanosoma,11.0
g__Turicella,1.0
g__Ustilago,7.0
g__Variovorax,26.0
g__Veillonella,1.0
g__Verminephrobacter,11.0
g__Verrucomicrobium,1.0
g__Verticillium,8.0
g__Vibrio,70.0
g__Williamsia,49.0
g__Xanthobacter,11.0
g__Xanthomonadaceae_noname,4.0
g__Xanthomonas,20.0
g__Yarrowia,3.0
g__Zymoseptoria,213.0
