genus,reads
g__Promicromonospora,4.0
g__Propionibacterium,1254.0
g__Pseudacidovorax,21.0
g__Pseudoalteromonas,31.0
g__Pseudochrobactrum,5.0
g__Pseudoclavibacter,1.0
g__Pseudoflavonifractor,3.0
g__Pseudogulbenkiania,2.0
g__Pseudomonas,1414.0
g__Pseudonocardia,129.0
g__Pseudoramibacter,71.0
g__Pseudovibrio,4.0
g__Pseudoxanthomonas,11.0
g__Psychrobacter,8.0
g__Psychromonas,10.0
g__Pyrenophora,15.0
g__Rahnella,2.0
g__Ralstonia,217.0
g__Ramlibacter,12.0
g__Raoultella,1.0
g__Rheinheimera,9.0
g__Rhizobium,131.0
g__Rhodobacter,18.0
g__Rhodococcus,1020.0
g__Rhodomicrobium,1.0
g__Rhodopirellula,63.0
g__Rhodopseudomonas,133.0
g__Rhodospirillales_noname,36.0
g__Rhodospirillum,22.0
g__Riemerella,101.0
g__Roseburia,6.0
g__Roseobacter,1.0
g__Rothia,7.0
g__Rubellimicrobium,3.0
g__Rubrivivax,97.0
g__Ruminococcaceae_noname,1.0
g__Ruminococcus,218.0
g__Runella,1.0
g__Saccharomonospora,2.0
g__Saccharomyces,8.0
g__Salipiger,2.0
g__Salmonella,92.0
g__Sandarakinorhabdus,6.0
g__Scheffersomyces,37.0
g__Schizophyllum,6.0
g__Schlesneria,13.0
g__Sclerotinia,18.0
g__Segetibacter,1.0
g__Selenomonas,61.0
g__Serinicoccus,12.0
g__Serratia,37.0
g__Shewanella,54.0
g__Shigella,1798.0
g__Shimwellia,1.0
g__Shinella,12.0
g__Singularimonas,5.0
g__Sinorhizobium,51.0
g__Solobacterium,17.0
g__Sorangium,5.0
g__Sordaria,6.0
g__Sphingobacterium,1.0
g__Sphingobium,458.0
g__Sphingomonas,748.0
g__Sphingopyxis,178.0
g__Spirosoma,2.0
g__Stackebrandtia,2.0
g__Staphylococcus,526.0
g__Starkeya,33.0
g__Stenotrophomonas,139.0
g__Streptococcus,416.0
g__Streptomyces,119.0
g__Subdoligranulum,9.0
g__Sutterella,6.0
g__Syntrophus,1.0
g__Talaromyces,24.0
g__Tannerella,101.0
g__Teredinibacter,1.0
g__Terracoccus,6.0
g__Terriglobus,4.0
g__Tetrahymena,5.0
g__Tetrasphaera,7.0
g__Thalassiosira,1529.0
g__Thalassobacter,4.0
g__Thauera,29.0
g__Thermodesulfovibrio,1.0
g__Thermosinus,7.0
g__Thermus,9.0
g__Thielavia,162.0
g__Thioalkalivibrio,1.0
g__Thiobacillus,11.0
g__Thiomonas,6.0
g__Thiothrix,1.0
g__Toxoplasma,12.0
g__Treponema,2.0
g__Trichophyton,3.0
g__Trypanosoma,1.0
g__Tuber,3.0
g__Ustilago,27.0
g__Variovorax,195.0
g__Veillonella,1.0
g__Verminephrobacter,6.0
g__Verrucomicrobium,8.0
g__Verticillium,1.0
g__Vibrio,54.0
g__Weissella,1.0
g__Wenxinia,1.0
g__Xanthobacter,3.0
g__Xanthomonadaceae_noname,5.0
g__Xanthomonas,45.0
g__Xylella,5.0
g__Yarrowia,5.0
g__Yersinia,8.0
g__Zymomonas,8.0
g__Zymoseptoria,143.0
