GeneID,RPK,taxa
UniRef90_K5ZM12|g__Parabacteroides.s__Parabacteroides_goldsteinii,290.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2BE30|g__Parabacteroides.s__Parabacteroides_goldsteinii,290.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YVM7|g__Parabacteroides.s__Parabacteroides_goldsteinii,287.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6ADB0|g__Parabacteroides.s__Parabacteroides_goldsteinii,286.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Y261|g__Parabacteroides.s__Parabacteroides_goldsteinii,285.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Z729|g__Parabacteroides.s__Parabacteroides_goldsteinii,285.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A4Q6|g__Parabacteroides.s__Parabacteroides_goldsteinii,282.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2ALU8|g__Parabacteroides.s__Parabacteroides_goldsteinii,282.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_Q5L7N5|g__Parabacteroides.s__Parabacteroides_goldsteinii,281.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A3V3|g__Parabacteroides.s__Parabacteroides_goldsteinii,278.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6AL10|g__Parabacteroides.s__Parabacteroides_goldsteinii,278.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YHA7|g__Parabacteroides.s__Parabacteroides_goldsteinii,277.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YVK2|g__Parabacteroides.s__Parabacteroides_goldsteinii,277.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A450|g__Parabacteroides.s__Parabacteroides_goldsteinii,277.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2B2Y0|g__Parabacteroides.s__Parabacteroides_goldsteinii,276.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YZN2|g__Parabacteroides.s__Parabacteroides_goldsteinii,275.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Z767|g__Parabacteroides.s__Parabacteroides_goldsteinii,275.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZBP0|g__Parabacteroides.s__Parabacteroides_goldsteinii,275.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A263|g__Parabacteroides.s__Parabacteroides_goldsteinii,275.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A283|g__Parabacteroides.s__Parabacteroides_goldsteinii,273.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_Q64WN1|g__Parabacteroides.s__Parabacteroides_goldsteinii,273.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZHZ7|g__Parabacteroides.s__Parabacteroides_goldsteinii,272.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2B6C4|g__Parabacteroides.s__Parabacteroides_goldsteinii,272.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZF52|g__Parabacteroides.s__Parabacteroides_goldsteinii,271.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6ARN5|g__Parabacteroides.s__Parabacteroides_goldsteinii,270.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Z5V4|g__Parabacteroides.s__Parabacteroides_goldsteinii,268.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6XBD7|g__Parabacteroides.s__Parabacteroides_goldsteinii,268.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A7ADT9|g__Parabacteroides.s__Parabacteroides_goldsteinii,265.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2B002|g__Parabacteroides.s__Parabacteroides_goldsteinii,264.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6ARH6|g__Parabacteroides.s__Parabacteroides_goldsteinii,263.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YNT1|g__Parabacteroides.s__Parabacteroides_goldsteinii,261.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2ARI4|g__Parabacteroides.s__Parabacteroides_goldsteinii,261.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YTM2|g__Parabacteroides.s__Parabacteroides_goldsteinii,260.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Y508|g__Parabacteroides.s__Parabacteroides_goldsteinii,259.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2BA98|g__Parabacteroides.s__Parabacteroides_goldsteinii,258.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_D4VSU5|g__Parabacteroides.s__Parabacteroides_goldsteinii,256.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Y8F0|g__Parabacteroides.s__Parabacteroides_goldsteinii,255.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YUI7|g__Parabacteroides.s__Parabacteroides_goldsteinii,254.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2B579|g__Parabacteroides.s__Parabacteroides_goldsteinii,254.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YK89|g__Parabacteroides.s__Parabacteroides_goldsteinii,253.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A2A2|g__Parabacteroides.s__Parabacteroides_goldsteinii,253.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6ADF7|g__Parabacteroides.s__Parabacteroides_goldsteinii,253.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2ASL6|g__Parabacteroides.s__Parabacteroides_goldsteinii,253.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2B4M3|g__Parabacteroides.s__Parabacteroides_goldsteinii,253.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2BCN2|g__Parabacteroides.s__Parabacteroides_goldsteinii,253.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZYD5|g__Parabacteroides.s__Parabacteroides_goldsteinii,251.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Z5T7|g__Parabacteroides.s__Parabacteroides_goldsteinii,250.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2B6P7|g__Parabacteroides.s__Parabacteroides_goldsteinii,250.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Z996|g__Parabacteroides.s__Parabacteroides_goldsteinii,249.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2BCU2|g__Parabacteroides.s__Parabacteroides_goldsteinii,248.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZU68|g__Parabacteroides.s__Parabacteroides_goldsteinii,247.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2AV24|g__Parabacteroides.s__Parabacteroides_goldsteinii,247.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YSH1|g__Parabacteroides.s__Parabacteroides_goldsteinii,244.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Z9K7|g__Parabacteroides.s__Parabacteroides_goldsteinii,243.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZEK9|g__Parabacteroides.s__Parabacteroides_goldsteinii,243.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2AX67|g__Parabacteroides.s__Parabacteroides_goldsteinii,243.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A828|g__Parabacteroides.s__Parabacteroides_goldsteinii,242.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YVV9|g__Parabacteroides.s__Parabacteroides_goldsteinii,241.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
