taxa,reads
g__Capnocytophaga.s__Capnocytophaga_sp_CM59,1.0
g__Capnocytophaga.s__Capnocytophaga_sp_oral_taxon_329,14.0
g__Capnocytophaga.s__Capnocytophaga_sputigena,1.0
g__Cardiobacterium.s__Cardiobacterium_hominis,10.0
g__Carnobacterium.s__Carnobacterium_maltaromaticum,891.0
g__Carnobacterium.s__Carnobacterium_sp_17_4,1.0
g__Caulobacter.s__Caulobacter_segnis,119.0
g__Caulobacter.s__Caulobacter_sp_AP07,44.0
g__Caulobacter.s__Caulobacter_sp_JGI_0001010_J14,8.0
g__Caulobacter.s__Caulobacter_sp_JGI_0001013_D04,14.0
g__Caulobacter.s__Caulobacter_sp_JGI_0001013_O16,2.0
g__Caulobacter.s__Caulobacter_sp_K31,38.0
g__Caulobacter.s__Caulobacter_vibrioides,109.0
g__Cedecea.s__Cedecea_davisae,1.0
g__Cellulomonas.s__Cellulomonas_fimi,1.0
g__Cellulomonas.s__Cellulomonas_flavigena,8.0
g__Cellulomonas.s__Cellulomonas_sp_JC225,2.0
g__Cellvibrio.s__Cellvibrio_japonicus,1.0
g__Cellvibrio.s__Cellvibrio_sp_BR,9.0
g__Centipeda.s__Centipeda_periodontii,1.0
g__Chaetomium.s__Chaetomium_globosum,13.0
g__Chelatococcus.s__Chelatococcus_sp_GW1,16.0
g__Chitiniphilus.s__Chitiniphilus_shinanonensis,8.0
g__Chlamydia.s__Chlamydia_psittaci,615.0
g__Chlorobium.s__Chlorobium_phaeobacteroides,11.0
g__Chromobacterium.s__Chromobacterium_sp_C_61,1.0
g__Chromohalobacter.s__Chromohalobacter_salexigens,1.0
g__Chroococcidiopsis.s__Chroococcidiopsis_thermalis,2.0
g__Chryseobacterium.s__Chryseobacterium_gleum,4.0
g__Chryseobacterium.s__Chryseobacterium_taeanense,24.0
g__Chthoniobacter.s__Chthoniobacter_flavus,2.0
g__Citricoccus.s__Citricoccus_sp_CH26A,43.0
g__Citrobacter.s__Citrobacter_koseri,5.0
g__Citrobacter.s__Citrobacter_rodentium,1.0
g__Citrobacter.s__Citrobacter_sp_30_2,10.0
g__Citrobacter.s__Citrobacter_sp_KTE30,2.0
g__Citrobacter.s__Citrobacter_youngae,2.0
g__Citromicrobium.s__Citromicrobium_bathyomarinum,8.0
g__Clavibacter.s__Clavibacter_michiganensis,2.0
g__Clostridiales_noname.s__Bacteroides_pectinophilus,1.0
g__Clostridiales_noname.s__Clostridiales_bacterium_1_7_47FAA,36.0
g__Clostridium.s__Clostridium_bolteae,589.0
g__Clostridium.s__Clostridium_botulinum,124.0
g__Clostridium.s__Clostridium_cellulovorans,20.0
g__Clostridium.s__Clostridium_citroniae,7.0
g__Clostridium.s__Clostridium_clostridioforme,56.0
g__Clostridium.s__Clostridium_hathewayi,15.0
g__Clostridium.s__Clostridium_leptum,64.0
g__Clostridium.s__Clostridium_methylpentosum,1.0
g__Clostridium.s__Clostridium_nexile,14.0
g__Clostridium.s__Clostridium_perfringens,5.0
g__Clostridium.s__Clostridium_saccharolyticum,12.0
g__Clostridium.s__Clostridium_scindens,80.0
g__Clostridium.s__Clostridium_sp_7_3_54FAA,1.0
g__Clostridium.s__Clostridium_sp_ASF356,41209.0
g__Clostridium.s__Clostridium_sp_ASF502,9.0
g__Clostridium.s__Clostridium_sp_ATCC_BAA_442,2.0
g__Clostridium.s__Clostridium_sp_BL8,8.0
g__Clostridium.s__Clostridium_sp_D5,12.0
g__Clostridium.s__Clostridium_sp_HGF2,2.0
g__Clostridium.s__Clostridium_sp_KLE_1755,18.0
g__Clostridium.s__Clostridium_sp_L2_50,113.0
g__Clostridium.s__Clostridium_sp_M62_1,12.0
g__Clostridium.s__Clostridium_sp_SS2_1,105.0
g__Clostridium.s__Clostridium_sp_SY8519,23.0
g__Clostridium.s__Clostridium_symbiosum,142.0
g__Clostridium.s__Clostridium_thermocellum,122.0
g__Comamonas.s__Comamonas_sp_B_9,20.0
