Taxonomy,Length,Reads,RPK
root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_;g_Mitsuaria;s_Mitsuaria sp. 7,1155,13,11.255411255411255
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Peptococcaceae;g_Dehalobacter,180,2,11.11111111111111
root;k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae;g_Maribacter;s_Maribacter sp. MAR_2009_60,1017,6,11.105638427619851
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Listeriaceae;g_Listeria;s_Listeria monocytogenes,5934,6,10.811888403384327
root;k_Bacteria;p_Fusobacteria;c_Fusobacteriia;o_Fusobacteriales;f_Fusobacteriaceae;g_Fusobacterium;s_Fusobacterium nucleatum,11670,13,10.28300074245616
root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium,6951,7,10.12417996777455
root;k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae;g_Lacinutrix;s_Lacinutrix sp. 5H-3-7-4,5397,9,10.113465748153194
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium beijerinckii,1101,11,9.990917347865578
root;k_Bacteria;p_Candidatus Melainabacteria;c_;o_;f_;g_;s_Candidatus Melainabacteria bacterium MEL.A1,3039,5,9.910198972164054
root;k_Bacteria;p_Cyanobacteria;c_;o_Synechococcales;f_Acaryochloridaceae;g_Acaryochloris;s_Acaryochloris marina,1044,10,9.578544061302681
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia producta,1425,3,9.495529596032108
root;k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae;g_;s_Flavobacteriaceae bacterium MAR_2010_188,981,2,9.494773519163763
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Enterococcaceae;g_Enterococcus;s_Enterococcus hirae,3609,3,9.281471242500361
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured rumen bacterium,507,2,8.984582668793195
root;k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae;g_Flavobacterium;s_Flavobacterium johnsoniae,2106,4,8.861664425473666
root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium;s_Bradyrhizobium diazoefficiens,6723,7,8.81288999328388
root;k_Bacteria;p_Bacteroidetes;c_;o_;f_;g_;s_Bacteroidetes bacterium UKL13-3,477,2,8.688208079851371
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Staphylococcaceae;g_Staphylococcus;s_Staphylococcus haemolyticus,117,1,8.547008547008547
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium 1i11,7161,8,8.49072045779962
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Bacillus;s_Bacillus subtilis,2250,4,8.261923015522797
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium tyrobutyricum,744,6,8.064516129032258
