taxa,reads
g__Leptosphaeria.s__Leptosphaeria_maculans,73.0
g__Leptospira.s__Leptospira_interrogans,1.0
g__Leptospira.s__Leptospira_noguchii,1.0
g__Leptotrichia.s__Leptotrichia_hofstadii,5.0
g__Leuconostoc.s__Leuconostoc_mesenteroides,1.0
g__Limnohabitans.s__Limnohabitans_sp_Rim47,2.0
g__Listeria.s__Listeria_grayi,3.0
g__Listeria.s__Listeria_monocytogenes,93.0
g__Malassezia.s__Malassezia_globosa,1.0
g__Marinilabilia.s__Marinilabilia_salmonicolor,564.0
g__Marvinbryantia.s__Marvinbryantia_formatexigens,7.0
g__Massilia.s__Massilia_niastensis,1.0
g__Massilia.s__Massilia_timonae,4.0
g__Mesorhizobium.s__Mesorhizobium_alhagi,7.0
g__Mesorhizobium.s__Mesorhizobium_amorphae,3.0
g__Mesorhizobium.s__Mesorhizobium_australicum,1.0
g__Mesorhizobium.s__Mesorhizobium_ciceri,1.0
g__Mesorhizobium.s__Mesorhizobium_loti,27.0
g__Mesorhizobium.s__Mesorhizobium_metallidurans,3.0
g__Mesorhizobium.s__Mesorhizobium_opportunistum,2.0
g__Mesorhizobium.s__Mesorhizobium_sp_WSM4349,1.0
g__Methylibium.s__Methylibium_petroleiphilum,2.0
g__Methylotenera.s__Methylotenera_versatilis,1.0
g__Methyloversatilis.s__Methyloversatilis_universalis,1.0
g__Microbacterium.s__Microbacterium_laevaniformans,2.0
g__Microbacterium.s__Microbacterium_sp_oral_taxon_186,1.0
g__Micrococcus.s__Micrococcus_luteus,3.0
g__Microscilla.s__Microscilla_marina,2.0
g__Mucispirillum.s__Mucispirillum_schaedleri,779.0
g__Myceliophthora.s__Myceliophthora_thermophila,468.0
g__Mycobacterium.s__Mycobacterium_avium,1.0
g__Mycobacterium.s__Mycobacterium_smegmatis,1.0
g__Naumovozyma.s__Naumovozyma_dairenensis,8.0
g__Neisseria.s__Neisseria_gonorrhoeae,1.0
g__Neisseria.s__Neisseria_meningitidis,1.0
g__Nocardiopsis.s__Nocardiopsis_potens,1.0
g__Novosphingobium.s__Novosphingobium_aromaticivorans,2.0
g__Novosphingobium.s__Novosphingobium_lindaniclasticum,1.0
g__Ochrobactrum.s__Ochrobactrum_anthropi,1.0
g__Oligotropha.s__Oligotropha_carboxidovorans,1.0
g__Opitutaceae_noname.s__Opitutaceae_bacterium_TAV5,1.0
g__Opitutus.s__Opitutus_terrae,3.0
g__Ornithinimicrobium.s__Ornithinimicrobium_pekingense,1.0
g__Paenibacillus.s__Paenibacillus_curdlanolyticus,3.0
g__Paenibacillus.s__Paenibacillus_lactis,2.0
g__Paenibacillus.s__Paenibacillus_sp_A9,1.0
g__Paenibacillus.s__Paenibacillus_sp_ICGEB2008,2.0
g__Paenibacillus.s__Paenibacillus_sp_oral_taxon_786,12.0
g__Pannonibacter.s__Pannonibacter_phragmitetus,1.0
g__Parabacteroides.s__Parabacteroides_distasonis,30.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,23007.0
g__Parabacteroides.s__Parabacteroides_johnsonii,1889.0
g__Parabacteroides.s__Parabacteroides_merdae,4183.0
g__Parabacteroides.s__Parabacteroides_sp_20_3,3.0
g__Parabacteroides.s__Parabacteroides_sp_ASF519,16663.0
g__Parabacteroides.s__Parabacteroides_sp_D13,37.0
g__Parabacteroides.s__Parabacteroides_sp_D25,39.0
g__Paracoccidioides.s__Paracoccidioides_sp_lutzii,1.0
g__Paracoccus.s__Paracoccus_sp_N5,5.0
g__Paraprevotella.s__Paraprevotella_clara,10.0
g__Parvimonas.s__Parvimonas_micra,27.0
g__Pasteurella.s__Pasteurella_multocida,1.0
g__Pasteurella.s__Pasteurella_pneumotropica,1.0
g__Pedosphaera.s__Pedosphaera_parvula,2.0
g__Peptostreptococcaceae_noname.s__Clostridium_bartlettii,119.0
g__Peptostreptococcaceae_noname.s__Clostridium_sordellii,47.0
g__Peptostreptococcus.s__Peptostreptococcus_anaerobius,1.0
g__Perkinsus.s__Perkinsus_marinus,836.0
g__Phaeobacter.s__Phaeobacter_gallaeciensis,1.0
g__Phenylobacterium.s__Phenylobacterium_zucineum,2.0
g__Plasmodium.s__Plasmodium_berghei,589.0
g__Plasmodium.s__Plasmodium_chabaudi,96.0
g__Plasmodium.s__Plasmodium_yoelii,541.0
g__Polaromonas.s__Polaromonas_naphthalenivorans,1.0
g__Polaromonas.s__Polaromonas_sp_JS666,2.0
g__Polynucleobacter.s__Polynucleobacter_necessarius,3.0
g__Porphyromonas.s__Porphyromonas_cansulci,1.0
g__Porphyromonas.s__Porphyromonas_crevioricanis,5.0
g__Porphyromonas.s__Porphyromonas_gingivalis,3.0
g__Prevotella.s__Prevotella_amnii,1.0
g__Prevotella.s__Prevotella_buccae,3.0
g__Prevotella.s__Prevotella_copri,1.0
g__Prevotella.s__Prevotella_histicola,518.0
