GeneID,RPK
UniRef90_K6AYR2|g__Parabacteroides.s__Parabacteroides_goldsteinii,30.0
UniRef90_N2AJB7|g__Parabacteroides.s__Parabacteroides_goldsteinii,30.0
UniRef90_R5DHZ7|g__Parabacteroides.s__Parabacteroides_goldsteinii,30.0
UniRef90_R6IAK7|g__Parabacteroides.s__Parabacteroides_goldsteinii,30.0
UniRef90_R6WWF6|g__Parabacteroides.s__Parabacteroides_goldsteinii,30.0
UniRef90_R6X4I3|g__Parabacteroides.s__Parabacteroides_goldsteinii,30.0
UniRef90_A6LI32|g__Parabacteroides.s__Parabacteroides_goldsteinii,29.0
UniRef90_K5ZYJ6|g__Parabacteroides.s__Parabacteroides_goldsteinii,28.0
UniRef90_K6A913|g__Parabacteroides.s__Parabacteroides_goldsteinii,28.0
UniRef90_K6ABH1|g__Parabacteroides.s__Parabacteroides_goldsteinii,28.0
UniRef90_A6LEG5|g__Parabacteroides.s__Parabacteroides_goldsteinii,27.0
UniRef90_A6LEI5|g__Parabacteroides.s__Parabacteroides_goldsteinii,27.0
UniRef90_A6LHM8|g__Parabacteroides.s__Parabacteroides_goldsteinii,27.0
UniRef90_K5YVY3|g__Parabacteroides.s__Parabacteroides_goldsteinii,27.0
UniRef90_K5Z066|g__Parabacteroides.s__Parabacteroides_goldsteinii,27.0
UniRef90_K5ZBY7|g__Parabacteroides.s__Parabacteroides_goldsteinii,27.0
UniRef90_K6AGA7|g__Parabacteroides.s__Parabacteroides_goldsteinii,27.0
UniRef90_D4VKI7|g__Parabacteroides.s__Parabacteroides_goldsteinii,26.0
UniRef90_K5YHK5|g__Parabacteroides.s__Parabacteroides_goldsteinii,26.0
UniRef90_K6AMZ7|g__Parabacteroides.s__Parabacteroides_goldsteinii,26.0
UniRef90_R6Y9M8|g__Parabacteroides.s__Parabacteroides_goldsteinii,26.0
UniRef90_A6L8E0|g__Parabacteroides.s__Parabacteroides_goldsteinii,25.0
UniRef90_A6LEH4|g__Parabacteroides.s__Parabacteroides_goldsteinii,25.0
UniRef90_A6LEH6|g__Parabacteroides.s__Parabacteroides_goldsteinii,25.0
UniRef90_N2BBM3|g__Parabacteroides.s__Parabacteroides_goldsteinii,25.0
UniRef90_R5DEI7|g__Parabacteroides.s__Parabacteroides_goldsteinii,25.0
UniRef90_R6X568|g__Parabacteroides.s__Parabacteroides_goldsteinii,25.0
UniRef90_K5Y092|g__Parabacteroides.s__Parabacteroides_goldsteinii,24.0
UniRef90_K5Y6S4|g__Parabacteroides.s__Parabacteroides_goldsteinii,24.0
UniRef90_K5YYQ2|g__Parabacteroides.s__Parabacteroides_goldsteinii,24.0
UniRef90_K5Z292|g__Parabacteroides.s__Parabacteroides_goldsteinii,24.0
UniRef90_K6A4T9|g__Parabacteroides.s__Parabacteroides_goldsteinii,24.0
