GeneID,RPK,taxa
UniRef90_K5Z779|g__Parabacteroides.s__Parabacteroides_goldsteinii,11.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZDQ1|g__Parabacteroides.s__Parabacteroides_goldsteinii,11.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZK33|g__Parabacteroides.s__Parabacteroides_goldsteinii,11.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZUJ7|g__Parabacteroides.s__Parabacteroides_goldsteinii,11.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A4T9|g__Parabacteroides.s__Parabacteroides_goldsteinii,11.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6AL59|g__Parabacteroides.s__Parabacteroides_goldsteinii,11.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R5DA56|g__Parabacteroides.s__Parabacteroides_goldsteinii,11.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A6LE84|g__Parabacteroides.s__Parabacteroides_goldsteinii,10.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Y0B7|g__Parabacteroides.s__Parabacteroides_goldsteinii,10.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZI94|g__Parabacteroides.s__Parabacteroides_goldsteinii,10.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZL12|g__Parabacteroides.s__Parabacteroides_goldsteinii,10.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZRL7|g__Parabacteroides.s__Parabacteroides_goldsteinii,10.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6AUE6|g__Parabacteroides.s__Parabacteroides_goldsteinii,10.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6AW84|g__Parabacteroides.s__Parabacteroides_goldsteinii,10.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_Q5L8Z8|g__Parabacteroides.s__Parabacteroides_goldsteinii,10.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R5DAK3|g__Parabacteroides.s__Parabacteroides_goldsteinii,10.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R5DEI7|g__Parabacteroides.s__Parabacteroides_goldsteinii,10.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6WSU5|g__Parabacteroides.s__Parabacteroides_goldsteinii,10.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6X568|g__Parabacteroides.s__Parabacteroides_goldsteinii,10.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A6LEH4|g__Parabacteroides.s__Parabacteroides_goldsteinii,9.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Y132|g__Parabacteroides.s__Parabacteroides_goldsteinii,9.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YE63|g__Parabacteroides.s__Parabacteroides_goldsteinii,9.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YM75|g__Parabacteroides.s__Parabacteroides_goldsteinii,9.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YXU2|g__Parabacteroides.s__Parabacteroides_goldsteinii,9.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YYQ2|g__Parabacteroides.s__Parabacteroides_goldsteinii,9.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Z066|g__Parabacteroides.s__Parabacteroides_goldsteinii,9.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Z515|g__Parabacteroides.s__Parabacteroides_goldsteinii,9.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZL16|g__Parabacteroides.s__Parabacteroides_goldsteinii,9.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZTH3|g__Parabacteroides.s__Parabacteroides_goldsteinii,9.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZUP3|g__Parabacteroides.s__Parabacteroides_goldsteinii,9.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZVT6|g__Parabacteroides.s__Parabacteroides_goldsteinii,9.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZYL8|g__Parabacteroides.s__Parabacteroides_goldsteinii,9.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZZM1|g__Parabacteroides.s__Parabacteroides_goldsteinii,9.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A2W8|g__Parabacteroides.s__Parabacteroides_goldsteinii,9.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
