taxa,reads
g__Bradyrhizobium.s__Bradyrhizobium_sp_ORS_285,1.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_S23321,17.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_WSM1253,8.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_WSM471,1.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_YR681,14.0
g__Brevibacterium.s__Brevibacterium_casei,5.0
g__Brevundimonas.s__Brevundimonas_diminuta,5.0
g__Brevundimonas.s__Brevundimonas_sp_BAL3,7.0
g__Brucella.s__Brucella_ceti,1.0
g__Brucella.s__Brucella_pinnipedialis,1.0
g__Brucella.s__Brucella_suis,47.0
g__Burkholderia.s__Burkholderia_lata,1.0
g__Burkholderia.s__Burkholderia_multivorans,5.0
g__Burkholderia.s__Burkholderia_phytofirmans,1.0
g__Burkholderia.s__Burkholderia_ubonensis,1.0
g__Burkholderia.s__Burkholderia_vietnamiensis,1.0
g__Burkholderiales_noname.s__Burkholderiales_bacterium_JOSHI_001,1.0
g__Butyrivibrio.s__Butyrivibrio_fibrisolvens,1.0
g__Butyrivibrio.s__Butyrivibrio_sp_AE2015,1.0
g__Butyrivibrio.s__Butyrivibrio_sp_AE3009,1.0
g__Caldalkalibacillus.s__Caldalkalibacillus_thermarum,1.0
g__Caldanaerobacter.s__Caldanaerobacter_subterraneus,19.0
g__Campylobacter.s__Campylobacter_jejuni,5.0
g__Candida.s__Candida_albicans,13.0
g__Candida.s__Candida_tropicalis,3.0
g__Candidatus_Hamiltonella.s__Candidatus_Hamiltonella_defensa,6.0
g__Candidatus_Regiella.s__Candidatus_Regiella_insecticola,7.0
g__Capnocytophaga.s__Capnocytophaga_sp_oral_taxon_329,5.0
g__Capnocytophaga.s__Capnocytophaga_sputigena,2.0
g__Carnobacterium.s__Carnobacterium_maltaromaticum,498.0
g__Caulobacter.s__Caulobacter_segnis,11.0
g__Caulobacter.s__Caulobacter_sp_JGI_0001010_J14,2.0
