taxa,reads
g__Candidatus_Regiella.s__Candidatus_Regiella_insecticola,28.0
g__Candidatus_Saccharibacteria_noname.s__candidate_division_TM7_single_cell_isolate_TM7c,6.0
g__Candidatus_Sulcia.s__Candidatus_Sulcia_muelleri,1.0
g__Capnocytophaga.s__Capnocytophaga_ochracea,1.0
g__Carnobacterium.s__Carnobacterium_maltaromaticum,399.0
g__Catonella.s__Catonella_morbi,3.0
g__Caulobacter.s__Caulobacter_segnis,14.0
g__Caulobacter.s__Caulobacter_sp_AP07,3.0
g__Caulobacter.s__Caulobacter_sp_JGI_0001013_O16,4.0
g__Caulobacter.s__Caulobacter_sp_K31,3.0
g__Caulobacter.s__Caulobacter_vibrioides,35.0
g__Centipeda.s__Centipeda_periodontii,11.0
g__Chlamydia.s__Chlamydia_psittaci,263.0
g__Chryseobacterium.s__Chryseobacterium_gleum,5.0
g__Chryseobacterium.s__Chryseobacterium_taeanense,4.0
g__Citrobacter.s__Citrobacter_koseri,1.0
g__Citrobacter.s__Citrobacter_sp_KTE151,1.0
g__Citrobacter.s__Citrobacter_sp_KTE32,1.0
g__Clavibacter.s__Clavibacter_michiganensis,5.0
g__Clostridiales_noname.s__Clostridiales_bacterium_1_7_47FAA,1.0
g__Clostridium.s__Clostridium_bolteae,144.0
g__Clostridium.s__Clostridium_botulinum,1142.0
g__Clostridium.s__Clostridium_butyricum,4.0
g__Clostridium.s__Clostridium_cellulovorans,1.0
g__Clostridium.s__Clostridium_citroniae,10.0
g__Clostridium.s__Clostridium_clostridioforme,30.0
g__Clostridium.s__Clostridium_leptum,178.0
g__Clostridium.s__Clostridium_methylpentosum,1.0
g__Clostridium.s__Clostridium_nexile,4.0
g__Clostridium.s__Clostridium_papyrosolvens,12.0
g__Clostridium.s__Clostridium_saccharolyticum,1.0
g__Clostridium.s__Clostridium_scindens,216.0
g__Clostridium.s__Clostridium_sp_7_3_54FAA,3.0
g__Clostridium.s__Clostridium_sp_ASF356,10660.0
g__Clostridium.s__Clostridium_sp_ASF502,3.0
g__Clostridium.s__Clostridium_sp_BL8,30.0
g__Clostridium.s__Clostridium_sp_D5,11.0
g__Clostridium.s__Clostridium_sp_L2_50,323.0
g__Clostridium.s__Clostridium_sp_M62_1,94.0
g__Clostridium.s__Clostridium_sp_SS2_1,644.0
g__Clostridium.s__Clostridium_sp_SY8519,10.0
g__Clostridium.s__Clostridium_symbiosum,12.0
g__Clostridium.s__Clostridium_thermocellum,7.0
g__Coccidioides.s__Coccidioides_posadasii,1.0
g__Collimonas.s__Collimonas_fungivorans,1.0
g__Comamonas.s__Comamonas_sp_B_9,1.0
g__Coprobacter.s__Coprobacter_fastidiosus,7533.0
g__Coprococcus.s__Coprococcus_eutactus,316.0
g__Corynebacterium.s__Corynebacterium_accolens,13.0
g__Corynebacterium.s__Corynebacterium_efficiens,2.0
g__Corynebacterium.s__Corynebacterium_kroppenstedtii,64.0
g__Corynebacterium.s__Corynebacterium_lipophiloflavum,1.0
g__Corynebacterium.s__Corynebacterium_matruchotii,1.0
g__Corynebacterium.s__Corynebacterium_nuruki,1.0
g__Corynebacterium.s__Corynebacterium_propinquum,2.0
g__Corynebacterium.s__Corynebacterium_pseudogenitalium,14.0
g__Corynebacterium.s__Corynebacterium_sp_HFH0082,1.0
g__Corynebacterium.s__Corynebacterium_sp_KPL1986,2.0
g__Corynebacterium.s__Corynebacterium_sp_KPL1998,1.0
g__Coxiella.s__Coxiella_burnetii,13.0
g__Cronobacter.s__Cronobacter_sakazakii,1.0
g__Cronobacter.s__Cronobacter_turicensis,1.0
g__Cryocola.s__Cryocola_sp_340MFSha3_1,1.0
g__Cupriavidus.s__Cupriavidus_basilensis,2.0
g__Cupriavidus.s__Cupriavidus_pinatubonensis,5.0
g__Cupriavidus.s__Cupriavidus_sp_HPC_L,2.0
g__Cupriavidus.s__Cupriavidus_sp_WS,1.0
g__Curvibacter.s__Curvibacter_lanceolatus,29.0
g__Cyanothece.s__Cyanothece_sp_CCY0110,7.0
g__Cytophaga.s__Cytophaga_hutchinsonii,10.0
g__Delftia.s__Delftia_acidovorans,5.0
g__Delftia.s__Delftia_sp_Cs1_4,6.0
g__Desulfobacca.s__Desulfobacca_acetoxidans,3.0
