Amino acid metabolism,Biosynthesis of other secondary metabolites,Carbohydrate metabolism,Chemical structure transformation maps,Energy metabolism,Global and overview maps,Glycan biosynthesis and metabolism,Lipid metabolism,Metabolism of cofactors and vitamins,Metabolism of other amino acids,Metabolism of terpenoids and polyketides,Nucleotide metabolism,Xenobiotics biodegradation and metabolism
ec:1.11.1.21,,ec:4.1.3.30,,ec:5.4.2.11,ec:1.1.1.58,,,ec:5.4.99.60,,,ec:3.1.7.2,
ec:1.2.1.10,,ec:1.1.1.305,,ec:3.1.3.71,ec:2.1.2.5,,,ec:1.5.1.20,,,ec:1.17.1.4,
ec:3.1.3.3,,ec:4.1.2.40,,ec:2.7.7.4,ec:2.1.3.9,,,ec:1.1.1.193,,,ec:1.3.1.1,
ec:4.1.1.15,,ec:4.1.2.21,,ec:6.2.1.5,ec:1.4.1.21,,,ec:2.5.1.9,,,ec:3.6.1.8,
ec:1.2.1.39,,ec:2.7.7.13,,ec:2.6.1.52,ec:2.1.1.45,,,ec:2.6.99.2,,,,
ec:2.6.1.82,,ec:5.1.3.4,,ec:1.2.7.3,ec:2.1.2.2,,,ec:2.7.1.33,,,,
ec:1.2.1.71,,ec:1.1.1.44,,ec:1.6.5.11,ec:1.11.1.15,,,ec:4.1.99.12,,,,
ec:5.3.1.24,,ec:4.1.2.4,,ec:1.1.1.35,ec:2.1.1.195,,,ec:2.1.2.5,,,,
ec:2.7.8.8,,ec:4.2.1.3,,ec:1.3.5.4,ec:1.2.1.88,,,ec:1.4.1.21,,,,
ec:6.2.1.30,,ec:3.2.1.20,,ec:2.7.1.19,ec:1.1.1.267,,,ec:2.1.1.45,,,,
ec:1.11.1.6,,ec:4.2.1.42,,ec:1.8.1.2,ec:1.3.1.98,,,ec:2.4.2.19,,,,
ec:4.1.1.19,,ec:2.7.1.202,,,ec:1.2.1.11,,,ec:2.5.1.15,,,,
ec:1.4.3.21,,ec:6.4.1.2,,,ec:1.1.1.85,,,ec:4.1.3.36,,,,
ec:4.1.1.18,,ec:3.1.3.12,,,ec:1.1.1.23,,,ec:2.1.2.2,,,,
ec:1.4.4.2,,ec:4.2.1.2,,,ec:1.4.1.16,,,ec:2.7.1.24,,,,
ec:1.1.1.3,,ec:1.1.5.4,,,ec:1.17.7.3,,,ec:2.7.7.3,,,,
ec:1.2.4.2,,ec:1.2.1.10,,,ec:1.1.1.49,,,ec:2.1.1.195,,,,
ec:1.1.99.1,,ec:5.1.3.22,,,ec:1.1.1.271,,,ec:2.2.1.9,,,,
ec:1.13.11.16,,ec:1.1.1.6,,,ec:1.2.7.3,,,ec:2.6.1.52,,,,
ec:2.3.1.174,,ec:3.1.1.31,,,ec:1.1.1.35,,,ec:2.5.1.17,,,,
ec:2.1.2.10,,ec:3.1.3.10,,,ec:1.1.1.290,,,ec:2.8.1.8,,,,
ec:4.2.1.49,,ec:1.11.1.6,,,ec:1.3.5.4,,,ec:2.5.1.78,,,,
ec:1.1.1.29,,ec:2.3.1.54,,,ec:1.5.5.2,,,ec:2.7.6.3,,,,
ec:1.1.1.37,,ec:1.2.4.2,,,ec:1.17.1.4,,,ec:3.5.4.26,,,,
