genus,reads
g__Polynucleobacter,13.0
g__Porphyromonas,14.0
g__Prevotella,1434.0
g__Propionibacterium,1135.0
g__Providencia,7.0
g__Pseudacidovorax,4.0
g__Pseudoalteromonas,17.0
g__Pseudoflavonifractor,41.0
g__Pseudomonas,147.0
g__Pseudonocardia,4.0
g__Pseudoramibacter,25.0
g__Pseudovibrio,2.0
g__Ralstonia,15.0
g__Ramlibacter,1.0
g__Rheinheimera,5.0
g__Rhizobium,7.0
g__Rhodanobacter,1.0
g__Rhodobacter,1.0
g__Rhodococcus,489.0
g__Rhodomicrobium,1.0
g__Rhodopseudomonas,20.0
g__Rhodospirillales_noname,3.0
g__Rhodospirillum,3.0
g__Roseburia,1.0
g__Roseomonas,1.0
g__Rothia,5.0
g__Rubrivivax,3.0
g__Ruegeria,1.0
g__Ruminococcus,107.0
g__Saccharomonospora,2.0
g__Salmonella,56.0
g__Schlesneria,1.0
g__Sclerotinia,2.0
g__Selenomonas,1.0
g__Serratia,2.0
g__Shewanella,3.0
g__Shigella,571.0
g__Sinorhizobium,6.0
g__Sphingobium,21.0
g__Sphingomonas,7.0
g__Sphingopyxis,1.0
g__Staphylococcus,84.0
g__Starkeya,3.0
g__Stenotrophomonas,11.0
g__Streptococcus,1211.0
g__Streptomyces,15.0
g__Sutterella,3.0
g__Syntrophus,2.0
g__Talaromyces,1.0
g__Tannerella,222.0
g__Terracoccus,3.0
g__Tetrahymena,1.0
g__Tetrasphaera,8.0
g__Thalassiosira,104.0
g__Thauera,3.0
g__Thermosinus,19.0
g__Thielavia,39.0
g__Toxoplasma,15.0
g__Tuber,1.0
g__Varibaculum,1.0
g__Variovorax,2.0
g__Veillonella,5.0
g__Vibrio,42.0
g__Weeksella,3.0
g__Xanthomonas,4.0
g__Xylella,1.0
g__Yarrowia,2.0
g__Yersinia,2.0
g__Zymoseptoria,10.0
